第4848回,2018/02/02,8905,11口,"1,240,700円",256口,"51,600円",62口,"646,100円","1,256口","25,800円"
第4849回,2018/02/05,2859,23口,"947,000円",425口,"39,400円",80口,"493,200円","1,720口","19,700円"
第4850回,2018/02/06,2666,14口,"1,713,700円",30口,"428,400円",29口,"1,071,000円",113口,"214,200円"
第4851回,2018/02/07,2864,24口,"738,400円",515口,"30,700円",77口,"384,500円","2,013口","15,300円"
第4852回,2018/02/08,2675,20口,"931,700円",318口,"38,800円",75口,"485,200円","1,404口","19,400円"
第4853回,2018/02/09,9600,16口,"1,083,100円",136口,"90,200円",65口,"586,600円",747口,"45,100円"
第4854回,2018/02/12,9246,26口,"970,000円",362口,"40,400円",59口,"505,200円","1,529口","20,200円"
第4855回,2018/02/13,1509,20口,"914,700円",308口,"38,100円",56口,"476,400円","1,716口","19,000円"
第4856回,2018/02/14,6647,19口,"1,100,900円",120口,"91,700円",58口,"596,300円",584口,"45,800円"
第4857回,2018/02/15,3275,19口,"882,300円",509口,"36,700円",65口,"459,500円","2,071口","18,300円"
第4858回,2018/02/16,1540,15口,"1,149,200円",331口,"47,800円",51口,"598,500円","1,702口","23,900円"
第4859回,2018/02/19,5550,25口,"1,067,500円",75口,"266,800円",63口,"667,100円",197口,"133,400円"
第4860回,2018/02/20,4687,26口,"942,400円",327口,"39,200円",62口,"490,800円","1,432口","19,600円"
第4861回,2018/02/21,8987,12口,"1,004,400円",167口,"83,700円",69口,"544,000円",804口,"41,800円"
第4862回,2018/02/22,2979,14口,"1,114,100円",130口,"92,800円",61口,"603,400円",698口,"46,400円"
第4863回,2018/02/23,0757,9口,"1,050,100円",166口,"87,500円",74口,"568,800円",863口,"43,700円"
第4864回,2018/02/26,5510,28口,"696,400円",270口,"58,000円",126口,"377,200円","1,177口","29,000円"
第4865回,2018/02/27,7336,16口,"1,266,100円",138口,"105,500円",41口,"685,800円",648口,"52,700円"
第4866回,2018/02/28,0626,54口,"693,700円",138口,"57,800円",106口,"375,700円",570口,"28,900円"
