2019/04/02,8811,29口,"644,000円",157口,"107,300円",74口,"375,600円",566口,"53,600円"
2019/04/03,9229,21口,"498,200円",281口,"83,000円",89口,"290,600円",915口,"41,500円"
2019/04/04,1200,19口,"888,700円",279口,"74,000円",47口,"481,300円","1,016口","37,000円"
2019/04/05,9688,12口,"1,304,600円",122口,"108,700円",55口,"706,600円",622口,"54,300円"
2019/04/08,8391,32口,"892,500円",460口,"37,100円",64口,"464,800円","1,969口","18,500円"
2019/04/09,4889,12口,"1,463,300円",91口,"121,900円",44口,"792,600円",500口,"60,900円"
2019/04/10,4289,31口,"836,100円",319口,"34,800円",73口,"435,400円","1,422口","17,400円"
2019/04/11,7670,21口,"1,129,500円",106口,"94,100円",65口,"611,800円",543口,"47,000円"
2019/04/12,0431,22口,"1,047,700円",475口,"43,600円",24口,"545,600円","2,011口","21,800円"
2019/04/15,7267,17口,"1,477,100円",151口,"123,000円",50口,"800,000円",585口,"61,500円"
2019/04/16,8597,16口,"978,900円",400口,"40,700円",62口,"509,800円","1,802口","20,300円"
2019/04/17,7206,13口,"1,230,200円",340口,"51,200円",47口,"640,700円","1,539口","25,600円"
2019/04/18,3048,21口,"1,031,300円",307口,"42,900円",70口,"537,100円","1,395口","21,400円"
2019/04/19,1392,25口,"1,006,700円",399口,"41,900円",51口,"524,300円","1,865口","20,900円"
2019/04/22,6352,39口,"854,900円",502口,"35,600円",70口,"445,200円","1,928口","17,800円"
2019/04/23,6924,11口,"1,083,600円",335口,"45,100円",69口,"564,300円","1,378口","22,500円"
2019/04/24,9916,16口,"956,100円",182口,"79,600円",72口,"517,800円",816口,"39,800円"
2019/04/25,7682,19口,"1,187,800円",298口,"49,400円",53口,"618,600円","1,342口","24,700円"
2019/04/26,9204,21口,"1,078,400円",419口,"44,900円",58口,"561,600円","1,571口","22,400円"
2019/04/29,2636,30口,"948,700円",208口,"79,000円",64口,"513,800円",727口,"39,500円"
2019/04/30,0331,32口,"529,400円",299口,"44,100円",128口,"286,700円","1,251口","22,000円"
