第2396回,2008/08/04,4786,42口,"834,600円",617口,"34,700円",111口,"434,600円","2,657口","17,300円","335,501,600円"
第2397回,2008/08/05,3241,20口,"1,011,700円",546口,"42,100円",71口,"526,900円","2,192口","21,000円","281,924,200円"
第2398回,2008/08/06,5210,43口,"851,700円",375口,"35,400円",88口,"443,500円","2,240口","17,700円","286,035,400円"
第2399回,2008/08/07,4811,37口,"813,100円",233口,"67,700円",110口,"440,400円","1,078口","33,800円","290,788,600円"
第2400回,2008/08/08,4137,25口,"915,100円",438口,"38,100円",110口,"476,600円","2,383口","19,000円","305,421,400円"
第2401回,2008/08/11,7410,34口,"907,900円",495口,"37,800円",106口,"472,800円","2,548口","18,900円","328,713,800円"
第2402回,2008/08/12,0650,15口,"1,672,600円",130口,"139,300円",36口,"905,900円",678口,"69,600円","273,514,600円"
第2403回,2008/08/13,6829,38口,"818,800円",346口,"34,100円",104口,"426,400円","1,810口","17,000円","262,571,400円"
第2404回,2008/08/14,5494,20口,"1,094,800円",166口,"91,200円",72口,"593,000円",896口,"45,600円","268,040,600円"
第2405回,2008/08/15,3461,38口,"903,700円",443口,"37,600円",83口,"470,600円","2,200口","18,800円","292,258,800円"
第2406回,2008/08/18,6897,39口,"721,200円",929口,"30,000円",126口,"375,600円","3,679口","15,000円","352,568,000円"
第2407回,2008/08/19,3733,32口,"921,900円",74口,"230,400円",87口,"576,100円",276口,"115,200円","285,562,800円"
第2408回,2008/08/20,6877,36口,"909,200円",233口,"75,700円",71口,"492,400円","1,210口","37,800円","291,555,400円"
第2409回,2008/08/21,6622,27口,"1,414,800円",88口,"235,800円",40口,"825,300円",378口,"117,900円","303,397,600円"
第2410回,2008/08/22,6610,23口,"1,098,500円",173口,"91,500円",95口,"595,000円",982口,"45,700円","316,836,000円"
第2411回,2008/08/25,6281,33口,"1,036,200円",590口,"43,100円",79口,"539,600円","2,805口","21,500円","361,916,000円"
第2412回,2008/08/26,7235,37口,"838,500円",526口,"34,900円",95口,"436,700円","2,544口","17,400円","300,758,800円"
第2413回,2008/08/27,9507,43口,"840,300円",397口,"35,000円",127口,"437,600円","1,938口","17,500円","310,113,800円"
第2414回,2008/08/28,3663,39口,"1,054,700円",113口,"175,700円",73口,"615,200円",397口,"87,800円","312,895,200円"
第2415回,2008/08/29,3013,37口,"750,900円",320口,"62,500円",129口,"406,700円","1,603口","31,200円","334,316,000円"
