第3496回,2012/11/02,9454,10口,"981,900円",222口,"81,800円",90口,"531,800円",970口,"40,900円","256,765,800円"
第3497回,2012/11/05,7646,17口,"1,281,900円",178口,"106,800円",63口,"694,300円",834口,"53,400円","286,900,800円"
第3498回,2012/11/06,0820,44口,"658,100円",138口,"54,800円",136口,"356,400円",588口,"27,400円","224,739,400円"
第3499回,2012/11/07,5474,18口,"1,246,600円",149口,"103,800円",48口,"675,200円",705口,"51,900円","237,678,000円"
第3500回,2012/11/08,9360,20口,"1,319,100円",310口,"54,900円",35口,"687,000円","1,576口","27,400円","246,181,200円"
第3501回,2012/11/09,4167,27口,"805,100円",410口,"33,500円",120口,"419,300円","1,806口","16,700円","258,035,400円"
第3502回,2012/11/12,7995,22口,"1,158,700円",237口,"96,500円",57口,"627,600円",898口,"48,200円","283,345,600円"
第3503回,2012/11/13,9034,11口,"1,257,400円",275口,"52,300円",62口,"654,800円","1,271口","26,100円","226,978,800円"
第3504回,2012/11/14,5879,13口,"886,200円",423口,"36,900円",90口,"461,500円","1,963口","18,400円","233,164,600円"
第3505回,2012/11/15,5395,19口,"1,233,500円",178口,"102,700円",45口,"668,100円",749口,"51,300円","245,120,000円"
第3506回,2012/11/16,5194,22口,"879,000円",592口,"36,600円",65口,"457,800円","2,348口","18,300円","252,836,200円"
第3507回,2012/11/19,8660,29口,"1,193,800円",135口,"99,400円",65口,"646,600円",686口,"49,700円","276,029,200円"
第3508回,2012/11/20,7922,21口,"972,100円",153口,"81,000円",70口,"526,500円",773口,"40,500円","224,414,400円"
第3509回,2012/11/21,8477,18口,"1,083,500円",164口,"90,200円",60口,"586,800円",816口,"45,100円","236,368,200円"
第3510回,2012/11/22,1467,34口,"919,800円",333口,"38,300円",76口,"479,000円","1,633口","19,100円","248,303,800円"
第3511回,2012/11/23,2868,24口,"873,700円",176口,"72,800円",80口,"473,200円",821口,"36,400円","225,636,800円"
第3512回,2012/11/26,4900,15口,"1,307,200円",154口,"108,900円",58口,"708,000円",811口,"54,400円","270,285,400円"
第3513回,2012/11/27,4767,27口,"912,000円",144口,"76,000円",77口,"494,000円",743口,"38,000円","226,319,600円"
第3514回,2012/11/28,2859,26口,"866,100円",345口,"36,000円",90口,"451,000円","1,665口","18,000円","234,695,200円"
第3515回,2012/11/29,6004,19口,"1,323,600円",132口,"110,300円",43口,"716,900円",678口,"55,100円","239,845,400円"
第3516回,2012/11/30,9170,20口,"1,154,000円",315口,"48,000円",63口,"601,000円","1,648口","24,000円","257,156,600円"
