第1407回,2004/10/04,1478,81口,"713,600円",651口,"29,700円",199口,"371,600円","2,998口","14,800円","434,887,600円"
第1408回,2004/10/05,3318,51口,"755,800円",208口,"62,900円",142口,"409,300円","1,100口","31,400円","320,949,200円"
第1409回,2004/10/06,6703,30口,"1,076,100円",419口,"44,800円",107口,"560,400円","2,162口","22,400円","354,473,000円"
第1410回,2004/10/07,6778,49口,"887,100円",193口,"73,900円",113口,"480,500円","1,032口","36,900円","333,759,400円"
第1411回,2004/10/08,1149,48口,"849,800円",228口,"70,800円",130口,"460,300円","1,213口","35,400円","354,976,200円"
第1412回,2004/10/11,3407,59口,"682,900円",727口,"28,400円",159口,"355,600円","3,466口","14,200円","370,789,600円"
第1413回,2004/10/12,4996,34口,"973,200円",179口,"81,100円",93口,"527,100円","1,027口","40,500円","307,294,400円"
第1414回,2004/10/13,1174,56口,"676,600円",292口,"56,300円",139口,"366,400円","1,643口","28,100円","336,968,400円"
第1415回,2004/10/14,1418,82口,"626,800円",206口,"52,200円",166口,"339,500円","1,083口","26,100円","326,252,600円"
第1416回,2004/10/15,1939,104口,"617,600円",239口,"51,400円",204口,"334,500円",981口,"25,700円","377,822,600円"
第1417回,2004/10/18,4230,30口,"1,255,700円",521口,"52,300円",101口,"654,000円","2,566口","26,100円","440,273,400円"
第1418回,2004/10/19,5807,39口,"914,900円",326口,"38,100円",105口,"476,500円","2,252口","19,000円","313,508,400円"
第1419回,2004/10/20,1510,37口,"803,300円",248口,"66,900円",77口,"435,100円","1,479口","33,400円","287,419,800円"
第1420回,2004/10/21,8339,22口,"1,269,500円",196口,"105,700円",69口,"687,600円","1,006口","52,800円","331,844,000円"
第1421回,2004/10/22,6151,36口,"1,092,200円",243口,"91,000円",69口,"591,600円","1,430口","45,500円","371,873,400円"
第1422回,2004/10/25,7535,59口,"864,600円",361口,"72,000円",141口,"468,300円","1,548口","36,000円","441,837,000円"
第1423回,2004/10/26,0598,22口,"1,376,800円",333口,"57,300円",57口,"717,000円","1,898口","28,600円","321,591,600円"
第1424回,2004/10/27,9570,26口,"1,070,300円",435口,"44,500円",102口,"557,400円","2,356口","22,200円","348,062,200円"
第1425回,2004/10/28,6026,24口,"1,379,800円",148口,"114,900円",71口,"747,300円",894口,"57,400円","343,552,400円"
第1426回,2004/10/29,7728,49口,"909,300円",207口,"75,700円",140口,"492,500円","1,064口","37,800円","376,707,000円"
