2013/12/03,2265,38口,"823,200円",182口,"68,600円",55口,"445,900円",858口,"34,300円","217,164,000円"
2013/12/04,8330,42口,"882,200円",145口,"73,500円",52口,"477,800円",771口,"36,700円","224,234,000円"
2013/12/05,7448,11口,"827,600円",271口,"68,900円",80口,"448,200円","1,130口","34,400円","228,052,400円"
2013/12/06,1047,25口,"883,500円",316口,"36,800円",84口,"460,100円","1,845口","18,400円","236,303,200円"
2013/12/09,2455,38口,"889,700円",173口,"74,100円",85口,"481,900円",786口,"37,000円","259,422,600円"
2013/12/10,4508,31口,"957,400円",316口,"39,800円",59口,"498,600円","1,305口","19,900円","217,207,400円"
2013/12/11,0870,19口,"1,208,800円",134口,"100,700円",46口,"654,700円",738口,"50,300円","230,575,600円"
2013/12/12,9758,13口,"1,081,400円",444口,"45,000円",46口,"563,200円","1,946口","22,500円","230,710,600円"
2013/12/13,4333,26口,"1,193,900円",68口,"298,400円",47口,"746,100円",164口,"149,200円","246,410,000円"
2013/12/16,6547,26口,"1,126,800円",466口,"46,900円",58口,"586,800円","1,728口","23,400円","279,525,400円"
2013/12/17,1034,18口,"1,005,800円",359口,"41,900円",66口,"523,800円","1,737口","20,900円","231,393,200円"
2013/12/18,2986,23口,"841,300円",325口,"35,000円",101口,"438,100円","1,687口","17,500円","232,374,400円"
2013/12/19,3731,33口,"749,800円",184口,"62,400円",113口,"406,100円",726口,"31,200円","232,955,000円"
2013/12/20,9500,27口,"892,700円",150口,"74,300円",87口,"483,500円",765口,"37,100円","235,087,200円"
2013/12/23,5291,16口,"991,800円",486口,"41,300円",66口,"516,500円","2,178口","20,600円","255,672,400円"
2013/12/24,3059,27口,"829,600円",382口,"34,500円",95口,"432,000円","1,549口","17,200円","229,832,800円"
2013/12/25,4111,30口,"764,500円",92口,"191,100円",90口,"477,800円",291口,"95,500円","247,420,800円"
2013/12/26,4162,17口,"855,100円",546口,"35,600円",76口,"445,300円","2,322口","17,800円","242,698,400円"
2013/12/27,3671,23口,"1,038,400円",372口,"43,200円",72口,"540,800円","1,758口","21,600円","259,901,600円"
2013/12/30,8856,29口,"857,500円",188口,"71,400円",123口,"464,400円",952口,"35,700円","287,678,000円"
