第1146回,2003/04/02,7301,47口,"864,900円",800口,"36,000円",177口,"450,400円","4,219口","18,000円","500,531,600円"
第1147回,2003/04/04,7989,49口,"988,600円",334口,"82,300円",147口,"535,400円","2,036口","41,100円","530,105,600円"
第1148回,2003/04/07,9385,29口,"1,577,600円",633口,"65,700円",76口,"821,600円","2,918口","32,800円","546,028,000円"
第1149回,2003/04/09,8027,48口,"1,086,900円",626口,"45,200円",140口,"566,000円","3,022口","22,600円","507,136,800円"
第1150回,2003/04/11,5394,40口,"1,366,200円",507口,"56,900円",109口,"711,500円","2,872口","28,400円","539,610,800円"
第1151回,2003/04/14,5430,41口,"1,341,000円",652口,"55,800円",91口,"698,400円","3,282口","27,900円","548,164,000円"
第1152回,2003/04/16,0390,55口,"886,400円",451口,"73,800円",138口,"480,100円","2,486口","36,900円","533,682,600円"
第1153回,2003/04/18,6706,53口,"1,001,800円",344口,"83,400円",159口,"542,600円","1,845口","41,700円","544,706,400円"
第1154回,2003/04/21,9936,67口,"808,700円",413口,"67,300円",206口,"438,000円","2,175口","33,600円","545,685,200円"
第1155回,2003/04/23,7908,44口,"989,800円",813口,"41,200円",139口,"515,500円","3,912口","20,600円","509,804,400円"
第1156回,2003/04/25,2782,61口,"916,200円",434口,"76,300円",174口,"496,200円","1,862口","38,100円","547,692,600円"
第1157回,2003/04/28,6819,62口,"931,200円",847口,"38,800円",165口,"485,000円","4,260口","19,400円","562,869,200円"
第1158回,2003/04/30,2060,52口,"1,140,600円",328口,"95,000円",110口,"617,800円","1,528口","47,500円","513,482,800円"
