第5168回,2019/05/02,0423,63口,"487,300円",349口,"20,300円",160口,"253,800円","1,428口","10,100円"
第5169回,2019/05/03,5637,16口,"1,017,300円",360口,"42,300円",63口,"529,800円","1,375口","21,100円"
第5170回,2019/05/06,1275,27口,"865,700円",543口,"36,000円",65口,"450,800円","1,948口","18,000円"
第5171回,2019/05/07,8547,20口,"842,800円",450口,"35,100円",70口,"438,900円","1,584口","17,500円"
第5172回,2019/05/08,7802,23口,"862,600円",367口,"35,900円",80口,"449,200円","1,604口","17,900円"
第5173回,2019/05/09,6251,22口,"1,125,700円",381口,"46,900円",37口,"586,300円","1,388口","23,400円"
第5174回,2019/05/10,0010,21口,"922,400円",96口,"230,600円",51口,"576,500円",275口,"115,300円"
第5175回,2019/05/13,2780,25口,"896,700円",490口,"37,300円",81口,"467,000円","1,759口","18,600円"
第5176回,2019/05/14,9141,10口,"1,392,100円",155口,"116,000円",31口,"754,000円",625口,"58,000円"
第5177回,2019/05/15,4143,23口,"910,100円",196口,"75,800円",69口,"492,900円",745口,"37,900円"
第5178回,2019/05/16,4388,29口,"954,400円",156口,"79,500円",55口,"516,900円",700口,"39,700円"
第5179回,2019/05/17,9254,19口,"945,600円",475口,"39,400円",68口,"492,500円","1,568口","19,700円"
第5180回,2019/05/20,5090,14口,"1,067,100円",216口,"88,900円",71口,"578,000円",803口,"44,400円"
第5181回,2019/05/21,1177,17口,"799,200円",137口,"133,200円",67口,"466,200円",401口,"66,600円"
第5182回,2019/05/22,7254,38口,"708,400円",392口,"29,500円",91口,"368,900円","1,557口","14,700円"
第5183回,2019/05/23,1312,31口,"653,300円",289口,"54,400円",72口,"353,800円","1,200口","27,200円"
第5184回,2019/05/24,3037,27口,"1,090,500円",116口,"90,800円",55口,"590,600円",627口,"45,400円"
第5185回,2019/05/27,7912,35口,"809,800円",502口,"33,700円",68口,"421,700円","2,109口","16,800円"
第5186回,2019/05/28,3602,9口,"1,206,100円",335口,"50,200円",42口,"628,100円","1,460口","25,100円"
第5187回,2019/05/29,8447,14口,"1,260,700円",139口,"105,000円",42口,"682,800円",666口,"52,500円"
第5188回,2019/05/30,3690,18口,"891,800円",351口,"37,100円",87口,"464,400円","1,464口","18,500円"
第5189回,2019/05/31,0146,19口,"1,058,800円",418口,"44,100円",45口,"551,400円","1,707口","22,000円"
