第4030回,2014/12/02,9450,21口,"994,400円",366口,"41,400円",52口,"517,900円","1,746口","20,700円","220,346,400円"
第4031回,2014/12/03,6392,23口,"971,900円",374口,"40,400円",60口,"506,100円","1,773口","20,200円","230,624,400円"
第4032回,2014/12/04,7842,14口,"971,600円",444口,"40,400円",57口,"506,000円","1,956口","20,200円","222,254,200円"
第4033回,2014/12/05,2884,10口,"1,158,400円",175口,"96,500円",68口,"627,400円",755口,"48,200円","239,099,600円"
第4034回,2014/12/08,3342,13口,"1,340,000円",215口,"111,600円",42口,"725,800円",852口,"55,800円","265,522,200円"
第4035回,2014/12/09,9614,14口,"938,600円",395口,"39,100円",69口,"488,800円","1,866口","19,500円","219,593,600円"
第4036回,2014/12/10,8186,10口,"1,568,000円",105口,"130,600円",45口,"849,300円",589口,"65,300円","235,794,400円"
第4037回,2014/12/11,1171,17口,"552,200円",185口,"138,000円",100口,"345,100円",515口,"69,000円","233,318,800円"
第4038回,2014/12/12,5533,29口,"928,400円",83口,"154,700円",76口,"541,500円",353口,"77,300円","240,531,200円"
第4039回,2014/12/15,4368,34口,"805,900円",534口,"33,500円",115口,"419,700円","2,062口","16,700円","284,960,000円"
第4040回,2014/12/16,9840,25口,"892,800円",415口,"37,200円",67口,"465,000円","1,790口","18,600円","227,133,600円"
第4041回,2014/12/17,1896,26口,"824,500円",471口,"34,300円",86口,"429,400円","1,938口","17,100円","239,666,600円"
第4042回,2014/12/18,1713,26口,"917,800円",204口,"76,400円",70口,"497,100円",871口,"38,200円","239,071,200円"
第4043回,2014/12/19,5686,30口,"911,100円",159口,"75,900円",87口,"493,500円",771口,"37,900円","248,028,400円"
第4044回,2014/12/22,3305,22口,"1,397,000円",131口,"116,400円",57口,"756,700円",644口,"58,200円","281,341,400円"
第4045回,2014/12/23,4621,38口,"634,800円",554口,"26,400円",80口,"330,600円","2,537口","13,200円","219,509,800円"
第4046回,2014/12/24,4596,20口,"1,031,500円",330口,"42,900円",74口,"537,200円","1,702口","21,400円","247,009,400円"
第4047回,2014/12/25,6120,47口,"683,300円",511口,"28,400円",94口,"355,800円","2,332口","14,200円","251,815,400円"
第4048回,2014/12/26,3281,22口,"1,102,000円",366口,"45,900円",62口,"573,900円","1,743口","22,900円","259,238,200円"
第4049回,2014/12/29,8424,25口,"932,400円",232口,"77,700円",99口,"505,000円","1,039口","38,800円","292,672,800円"
第4050回,2014/12/30,8684,30口,"596,400円",349口,"49,700円",125口,"323,000円","1,418口","24,800円","246,358,000円"
