第4395回,2016/05/03,5906,18口,"810,100円",418口,"33,700円",68口,"421,900円","1,932口","16,800円"
第4396回,2016/05/04,3942,22口,"1,036,500円",274口,"43,100円",50口,"539,800円","1,475口","21,500円"
第4397回,2016/05/05,9013,25口,"804,200円",407口,"33,500円",73口,"418,800円","1,785口","16,700円"
第4398回,2016/05/06,4392,26口,"884,900円",337口,"36,800円",81口,"460,800円","1,527口","18,400円"
第4399回,2016/05/09,1308,38口,"762,400円",534口,"31,700円",85口,"397,000円","2,268口","15,800円"
第4400回,2016/05/10,4418,39口,"737,300円",148口,"61,400円",95口,"399,300円",688口,"30,700円"
第4401回,2016/05/11,8132,22口,"863,900円",421口,"35,900円",78口,"449,900円","1,749口","17,900円"
第4402回,2016/05/12,7482,26口,"933,100円",367口,"38,800円",58口,"485,900円","1,748口","19,400円"
第4403回,2016/05/13,0483,12口,"1,431,800円",289口,"59,600円",37口,"745,700円","1,400口","29,800円"
第4404回,2016/05/16,0154,27口,"994,900円",531口,"41,400円",45口,"518,100円","2,047口","20,700円"
第4405回,2016/05/17,7546,25口,"935,700円",304口,"38,900円",68口,"487,300円","1,342口","19,400円"
第4406回,2016/05/18,6117,26口,"950,900円",159口,"79,200円",67口,"515,000円",738口,"39,600円"
第4407回,2016/05/19,0869,8口,"1,569,300円",276口,"65,300円",29口,"817,300円","1,335口","32,600円"
第4408回,2016/05/20,1775,29口,"909,100円",151口,"75,700円",75口,"492,400円",763口,"37,800円"
第4409回,2016/05/23,8403,20口,"1,193,800円",361口,"49,700円",50口,"621,700円","1,589口","24,800円"
第4410回,2016/05/24,8113,14口,"1,160,700円",169口,"96,700円",44口,"628,700円",712口,"48,300円"
第4411回,2016/05/25,9104,25口,"899,700円",343口,"37,400円",71口,"468,500円","1,794口","18,700円"
第4412回,2016/05/26,3747,21口,"1,144,300円",150口,"95,300円",49口,"619,800円",678口,"47,600円"
第4413回,2016/05/27,7398,14口,"923,300円",445口,"38,400円",64口,"480,800円","2,176口","19,200円"
第4414回,2016/05/30,1376,18口,"1,028,500円",406口,"42,800円",73口,"535,600円","1,811口","21,400円"
第4415回,2016/05/31,3940,26口,"914,600円",322口,"38,100円",76口,"476,300円","1,354口","19,000円"
