2011/05/03,0801,36口,"813,100円",152口,"67,700円",71口,"440,400円",833口,"33,800円","220,156,200円"
2011/05/04,4012,28口,"750,700円",481口,"31,200円",85口,"390,900円","2,153口","15,600円","228,854,000円"
2011/05/05,0912,58口,"485,100円",496口,"20,200円",167口,"252,600円","2,548口","10,100円","235,817,800円"
2011/05/06,1768,15口,"1,467,500円",307口,"61,100円",41口,"764,300円","1,560口","30,500円","266,270,400円"
2011/05/09,1567,38口,"936,300円",435口,"39,000円",99口,"487,600円","1,720口","19,500円","298,635,600円"
2011/05/10,2991,47口,"825,900円",176口,"68,800円",75口,"447,300円",729口,"34,400円","243,508,800円"
2011/05/11,7725,29口,"939,100円",151口,"78,200円",79口,"508,600円",742口,"39,100円","240,621,200円"
2011/05/12,9345,18口,"939,600円",408口,"39,100円",90口,"489,300円","1,909口","19,500円","254,015,200円"
2011/05/13,8446,30口,"1,218,300円",149口,"101,500円",45口,"659,900円",800口,"50,700円","271,080,800円"
2011/05/16,8653,35口,"771,000円",584口,"32,100円",115口,"401,500円","2,577口","16,000円","296,296,600円"
2011/05/17,6353,15口,"1,187,200円",155口,"98,900円",42口,"643,000円",956口,"49,400円","238,761,800円"
2011/05/18,4392,33口,"974,900円",314口,"40,600円",65口,"507,700円","1,708口","20,300円","250,273,600円"
2011/05/19,8032,25口,"1,071,100円",361口,"44,600円",56口,"557,800円","1,837口","22,300円","255,826,800円"
2011/05/20,7289,19口,"904,400円",382口,"37,600円",116口,"471,000円","1,836口","18,800円","268,478,200円"
2011/05/23,3107,44口,"742,800円",506口,"30,900円",114口,"386,800円","2,269口","15,400円","283,473,800円"
2011/05/24,7497,11口,"1,074,000円",164口,"89,500円",74口,"581,700円",838口,"44,700円","237,874,600円"
2011/05/25,4970,80口,"465,700円",484口,"19,400円",203口,"242,500円","2,058口","9,700円","257,465,000円"
2011/05/26,0580,14口,"1,167,000円",190口,"97,200円",58口,"632,100円",917口,"48,600円","257,948,000円"
2011/05/27,3311,29口,"1,021,900円",106口,"170,300円",64口,"596,100円",415口,"85,100円","269,304,800円"
2011/05/30,8029,34口,"927,600円",384口,"38,600円",90口,"483,100円","1,963口","19,300円","284,006,400円"
2011/05/31,9937,17口,"1,299,200円",139口,"108,200円",55口,"703,700円",645口,"54,100円","246,143,800円"
