第3041回,2011/02/02,5138,55口,"670,200円",537口,"27,900円",115口,"349,000円","2,461口","13,900円","280,817,800円"
第3042回,2011/02/03,2632,45口,"797,600円",238口,"66,400円",87口,"432,000円","1,235口","33,200円","289,678,400円"
第3043回,2011/02/04,7098,17口,"1,111,800円",401口,"46,300円",81口,"579,000円","2,132口","23,100円","297,252,600円"
第3044回,2011/02/07,7719,64口,"688,200円",244口,"57,300円",163口,"372,700円","1,149口","28,600円","337,233,000円"
第3045回,2011/02/08,6841,29口,"971,400円",477口,"40,400円",65口,"505,900円","2,042口","20,200円","270,424,000円"
第3046回,2011/02/09,2109,29口,"801,600円",489口,"33,400円",87口,"417,500円","2,769口","16,700円","271,442,400円"
第3047回,2011/02/10,5777,17口,"1,685,300円",59口,"421,300円",44口,"1,053,300円",131口,"210,600円","283,238,800円"
第3048回,2011/02/11,8941,29口,"825,800円",406口,"34,400円",86口,"430,100円","2,162口","17,200円","249,132,600円"
第3049回,2011/02/14,3718,67口,"587,600円",599口,"24,400円",178口,"306,000円","2,675口","12,200円","313,927,400円"
第3050回,2011/02/15,7532,38口,"743,600円",611口,"30,900円",98口,"387,200円","2,778口","15,400円","284,862,800円"
第3051回,2011/02/16,8555,44口,"810,600円",79口,"202,600円",102口,"506,600円",262口,"101,300円","288,685,200円"
第3052回,2011/02/17,6133,27口,"1,042,600円",183口,"86,800円",83口,"564,700円",915口,"43,400円","290,386,200円"
第3053回,2011/02/18,8077,32口,"1,051,500円",174口,"87,600円",101口,"569,500円",665口,"43,800円","301,249,000円"
第3054回,2011/02/21,8751,36口,"893,300円",638口,"37,200円",109口,"465,200円","2,583口","18,600円","343,757,200円"
第3055回,2011/02/22,7371,12口,"1,116,800円",219口,"93,000円",72口,"604,900円","1,074口","46,500円","282,926,800円"
第3056回,2011/02/23,4123,48口,"628,200円",582口,"26,100円",146口,"327,100円","2,591口","13,000円","282,376,200円"
第3057回,2011/02/24,9171,17口,"1,152,500円",175口,"96,000円",73口,"624,200円",967口,"48,000円","285,362,200円"
第3058回,2011/02/25,6824,33口,"800,900円",628口,"33,300円",111口,"417,100円","2,801口","16,600円","312,083,400円"
第3059回,2011/02/28,6530,34口,"1,068,600円",470口,"44,500円",86口,"556,500円","2,114口","22,200円","338,202,800円"
