2019/02/04,8661,19口,"1,194,600円",180口,"99,500円",65口,"647,000円",741口,"49,700円"
2019/02/05,5196,22口,"890,200円",441口,"37,000円",68口,"463,600円","1,686口","18,500円"
2019/02/06,2811,39口,"664,600円",265口,"55,300円",78口,"359,900円","1,110口","27,600円"
2019/02/07,6537,12口,"1,166,100円",334口,"48,500円",54口,"607,300円","1,514口","24,200円"
2019/02/08,1996,18口,"903,300円",209口,"75,200円",79口,"489,200円",903口,"37,600円"
2019/02/11,4304,16口,"1,285,200円",159口,"107,100円",50口,"696,100円",643口,"53,500円"
2019/02/12,7771,34口,"788,200円",80口,"197,000円",61口,"492,600円",200口,"98,500円"
2019/02/13,4259,20口,"1,091,500円",311口,"45,400円",52口,"568,400円","1,353口","22,700円"
2019/02/14,4072,22口,"1,043,800円",314口,"43,400円",53口,"543,600円","1,424口","21,700円"
2019/02/15,0359,17口,"1,238,900円",357口,"51,600円",45口,"645,200円","1,616口","25,800円"
2019/02/18,1906,23口,"895,900円",579口,"37,300円",72口,"466,600円","2,476口","18,600円"
2019/02/19,8370,9口,"1,086,800円",352口,"45,200円",54口,"566,000円","1,800口","22,600円"
2019/02/20,0952,13口,"1,179,500円",348口,"49,100円",42口,"614,300円","1,811口","24,500円"
2019/02/21,9572,18口,"825,600円",517口,"34,400円",92口,"430,000円","1,858口","17,200円"
2019/02/22,4397,13口,"950,300円",483口,"39,500円",75口,"494,900円","2,027口","19,700円"
2019/02/25,5406,25口,"1,029,900円",372口,"42,900円",87口,"536,400円","1,533口","21,400円"
2019/02/26,2133,23口,"1,095,200円",149口,"91,200円",55口,"593,200円",653口,"45,600円"
2019/02/27,2515,22口,"867,300円",205口,"72,200円",83口,"469,700円",866口,"36,100円"
2019/02/28,5717,26口,"831,700円",210口,"69,300円",75口,"450,500円",901口,"34,600円"
