第1045回,2002/08/05,8650,55口,"1,162,500円",610口,"48,400円",116口,"605,400円","3,072口","24,200円","529,152,800円"
第1046回,2002/08/07,4598,65口,"972,800円",691口,"40,500円",114口,"506,600円","3,523口","20,200円","489,812,600円"
第1047回,2002/08/09,8130,60口,"914,900円",661口,"38,100円",163口,"476,500円","3,922口","19,000円","516,721,200円"
第1048回,2002/08/12,1440,63口,"1,023,700円",277口,"85,300円",122口,"554,500円","1,647口","42,600円","502,318,200円"
第1049回,2002/08/14,9320,45口,"1,015,300円",684口,"42,300円",99口,"528,800円","3,588口","21,100円","450,846,400円"
第1050回,2002/08/16,7259,74口,"698,300円",866口,"29,000円",229口,"363,600円","4,043口","14,500円","486,653,400円"
第1051回,2002/08/19,3269,88口,"760,700円",818口,"31,600円",178口,"396,100円","4,005口","15,800円","504,169,600円"
第1052回,2002/08/21,1835,72口,"752,000円",805口,"31,300円",181口,"391,600円","4,219口","15,600円","480,853,800円"
第1053回,2002/08/23,2997,46口,"1,222,300円",266口,"101,800円",120口,"662,000円","1,411口","50,900円","521,420,800円"
第1054回,2002/08/26,7131,57口,"1,129,600円",331口,"94,100円",111口,"611,800円","1,786口","47,000円","550,100,800円"
第1055回,2002/08/28,2400,65口,"1,039,900円",393口,"86,600円",96口,"563,200円","1,634口","43,300円","503,430,400円"
第1056回,2002/08/30,4327,76口,"861,000円",706口,"35,800円",178口,"448,400円","3,826口","17,900円","531,591,000円"
