2017/12/04,1556,31口,"903,500円",163口,"75,200円",83口,"489,300円",779口,"37,600円"
2017/12/05,2348,19口,"936,400円",318口,"39,000円",71口,"487,700円","1,377口","19,500円"
2017/12/06,4974,20口,"783,500円",162口,"65,200円",102口,"424,300円",746口,"32,600円"
2017/12/07,4991,32口,"725,800円",197口,"60,400円",85口,"393,100円",880口,"30,200円"
2017/12/08,0382,8口,"1,402,800円",335口,"58,400円",29口,"730,600円","1,595口","29,200円"
2017/12/11,3627,36口,"750,400円",436口,"31,200円",106口,"390,800円","1,858口","15,600円"
2017/12/12,8528,14口,"1,075,300円",138口,"89,600円",59口,"582,400円",668口,"44,800円"
2017/12/13,1920,15口,"763,500円",451口,"31,800円",84口,"397,600円","2,269口","15,900円"
2017/12/14,8835,24口,"799,000円",175口,"66,500円",76口,"432,700円",921口,"33,200円"
2017/12/15,6907,10口,"1,179,700円",291口,"49,100円",75口,"614,400円","1,412口","24,500円"
2017/12/18,0991,34口,"920,500円",267口,"76,700円",60口,"498,600円",957口,"38,300円"
2017/12/19,8318,13口,"1,000,400円",158口,"83,300円",74口,"541,800円",741口,"41,600円"
2017/12/20,8333,28口,"900,400円",91口,"225,100円",55口,"562,700円",227口,"112,500円"
2017/12/21,9436,13口,"971,500円",388口,"40,400円",77口,"505,900円","1,667口","20,200円"
2017/12/22,0587,17口,"1,134,200円",315口,"47,200円",58口,"590,700円","1,537口","23,600円"
2017/12/25,8894,13口,"1,546,800円",161口,"128,900円",46口,"837,800円",629口,"64,400円"
2017/12/26,6933,24口,"778,400円",216口,"64,800円",85口,"421,600円","1,046口","32,400円"
2017/12/27,4543,27口,"784,000円",234口,"65,300円",92口,"424,600円",923口,"32,600円"
2017/12/28,9664,33口,"755,100円",207口,"62,900円",103口,"409,000円",839口,"31,400円"
2017/12/29,7789,44口,"507,800円",336口,"42,300円",186口,"275,000円","1,276口","21,100円"
