第2867回,2010/06/01,1270,30口,"1,011,200円",411口,"42,100円",60口,"526,600円","2,313口","21,000円","284,416,800円"
第2868回,2010/06/02,4399,25口,"1,003,800円",163口,"83,600円",102口,"543,700円",830口,"41,800円","286,474,400円"
第2869回,2010/06/03,8944,33口,"843,000円",219口,"70,200円",108口,"456,600円","1,058口","35,100円","288,202,400円"
第2870回,2010/06/04,8117,28口,"916,600円",257口,"76,300円",92口,"496,400円","1,197口","38,100円","303,763,600円"
第2871回,2010/06/07,3502,34口,"1,036,800円",484口,"43,200円",76口,"540,000円","2,306口","21,600円","326,701,600円"
第2872回,2010/06/08,2888,13口,"1,591,600円",42口,"397,900円",56口,"994,700円",145口,"198,900円","271,029,400円"
第2873回,2010/06/09,5468,26口,"942,500円",432口,"39,200円",79口,"490,800円","2,107口","19,600円","270,299,200円"
第2874回,2010/06/10,4256,65口,"673,500円",406口,"28,000円",129口,"350,700円","2,018口","14,000円","286,122,800円"
第2875回,2010/06/11,5532,37口,"658,300円",338口,"54,800円",139口,"356,500円","1,474口","27,400円","295,358,800円"
第2876回,2010/06/14,8890,42口,"1,037,700円",167口,"86,400円",96口,"562,000円",712口,"43,200円","317,279,000円"
第2877回,2010/06/15,1105,81口,"521,700円",218口,"43,400円",186口,"282,500円","1,025口","21,700円","281,321,800円"
第2878回,2010/06/16,9249,20口,"1,399,500円",155口,"116,600円",46口,"758,000円",774口,"58,300円","280,160,200円"
第2879回,2010/06/17,6219,38口,"931,300円",393口,"38,800円",86口,"485,000円","2,050口","19,400円","293,625,200円"
第2880回,2010/06/18,2360,21口,"1,014,100円",469口,"42,200円",79口,"528,100円","2,297口","21,100円","291,956,600円"
第2881回,2010/06/21,8982,32口,"1,067,000円",247口,"88,900円",84口,"577,900円","1,063口","44,400円","337,597,200円"
第2882回,2010/06/22,3636,58口,"736,900円",105口,"122,800円",106口,"429,800円",388口,"61,400円","277,853,800円"
第2883回,2010/06/23,6700,22口,"1,098,300円",128口,"91,500円",89口,"594,900円",741口,"45,700円","272,759,000円"
第2884回,2010/06/24,9105,22口,"993,300円",436口,"41,300円",85口,"517,300円","2,212口","20,600円","288,130,000円"
第2885回,2010/06/25,9305,12口,"1,509,900円",333口,"62,900円",54口,"786,400円","1,742口","31,400円","302,961,600円"
第2886回,2010/06/28,8864,57口,"638,700円",311口,"53,200円",198口,"345,900円","1,120口","26,600円","336,156,200円"
第2887回,2010/06/29,9367,29口,"991,800円",405口,"41,300円",73口,"516,500円","2,048口","20,600円","278,952,400円"
第2888回,2010/06/30,3725,61口,"616,500円",589口,"25,600円",138口,"321,000円","2,580口","12,800円","289,326,800円"
