第4417回,2016/06/02,7299,23口,"1,091,300円",153口,"90,900円",53口,"591,100円",683口,"45,400円"
第4418回,2016/06/03,1297,20口,"905,200円",494口,"37,700円",56口,"471,400円","2,209口","18,800円"
第4419回,2016/06/06,3659,29口,"809,900円",516口,"33,700円",92口,"421,800円","2,116口","16,800円"
第4420回,2016/06/07,3629,33口,"713,100円",373口,"29,700円",94口,"371,400円","1,682口","14,800円"
第4421回,2016/06/08,2688,30口,"939,900円",156口,"78,300円",61口,"509,100円",730口,"39,100円"
第4422回,2016/06/09,2401,21口,"876,600円",364口,"36,500円",61口,"456,500円","2,023口","18,200円"
第4423回,2016/06/10,7530,20口,"1,119,200円",320口,"46,600円",51口,"582,900円","1,469口","23,300円"
第4424回,2016/06/13,1949,90口,"428,700円",207口,"35,700円",224口,"232,200円",665口,"17,800円"
第4425回,2016/06/14,0411,38口,"551,900円",221口,"45,900円",120口,"298,900円","1,155口","22,900円"
第4426回,2016/06/15,6150,59口,"543,400円",520口,"22,600円",131口,"283,000円","2,218口","11,300円"
第4427回,2016/06/16,8976,11口,"891,100円",436口,"37,100円",83口,"464,100円","1,964口","18,500円"
第4428回,2016/06/17,5942,22口,"1,011,300円",394口,"42,100円",67口,"526,700円","1,586口","21,000円"
第4429回,2016/06/20,9044,30口,"991,500円",182口,"82,600円",75口,"537,000円",785口,"41,300円"
第4430回,2016/06/21,4406,20口,"1,004,000円",107口,"83,600円",79口,"543,800円",592口,"41,800円"
第4431回,2016/06/22,7028,25口,"846,300円",372口,"35,200円",84口,"440,700円","1,697口","17,600円"
第4432回,2016/06/23,3567,24口,"906,700円",319口,"37,700円",80口,"472,200円","1,512口","18,800円"
第4433回,2016/06/24,7935,28口,"706,400円",584口,"29,400円",96口,"367,900円","2,191口","14,700円"
第4434回,2016/06/27,0643,20口,"1,325,700円",356口,"55,200円",45口,"690,400円","1,507口","27,600円"
第4435回,2016/06/28,0846,11口,"921,200円",394口,"38,300円",76口,"479,700円","1,924口","19,100円"
第4436回,2016/06/29,7253,37口,"650,100円",494口,"27,000円",113口,"338,500円","2,185口","13,500円"
第4437回,2016/06/30,8984,23口,"1,142,900円",126口,"95,200円",68口,"619,000円",514口,"47,600円"
