第2307回,2008/04/01,5480,20口,"1,286,300円",286口,"53,500円",70口,"669,900円","1,767口","26,700円","300,685,600円"
第2308回,2008/04/02,3868,33口,"834,400円",211口,"69,500円",128口,"451,900円","1,115口","34,700円","308,516,200円"
第2309回,2008/04/03,6359,40口,"861,900円",549口,"35,900円",89口,"448,900円","2,575口","17,900円","311,966,600円"
第2310回,2008/04/04,4121,42口,"821,500円",272口,"68,400円",98口,"444,900円","1,555口","34,200円","333,260,600円"
第2311回,2008/04/07,1577,42口,"908,300円",269口,"75,600円",114口,"491,900円","1,226口","37,800円","357,785,600円"
第2312回,2008/04/08,6316,40口,"873,400円",189口,"72,700円",90口,"473,000円","1,004口","36,300円","284,041,000円"
第2313回,2008/04/09,9594,16口,"1,129,000円",201口,"94,000円",77口,"611,500円","1,055口","47,000円","297,120,000円"
第2314回,2008/04/10,9647,40口,"538,900円",803口,"22,400円",180口,"280,600円","3,863口","11,200円","296,671,400円"
第2315回,2008/04/11,9077,35口,"1,247,600円",133口,"103,900円",66口,"675,700円",837口,"51,900円","323,574,000円"
第2316回,2008/04/14,2677,35口,"1,231,200円",130口,"102,600円",91口,"666,900円",871口,"51,300円","359,571,400円"
第2317回,2008/04/15,0169,17口,"1,252,300円",398口,"52,100円",59口,"652,200円","2,321口","26,000円","313,557,400円"
第2318回,2008/04/16,5846,28口,"1,033,800円",425口,"43,000円",94口,"538,400円","2,015口","21,500円","313,942,800円"
第2319回,2008/04/17,8423,55口,"738,300円",501口,"30,700円",115口,"384,500円","2,593口","15,300円","311,422,800円"
第2320回,2008/04/18,8341,38口,"847,800円",467口,"35,300円",117口,"441,500円","2,482口","17,600円","320,481,400円"
第2321回,2008/04/21,6648,26口,"1,061,900円",286口,"88,400円",96口,"575,100円","1,362口","44,200円","374,223,400円"
第2322回,2008/04/22,6870,18口,"1,460,000円",301口,"60,800円",58口,"760,400円","1,609口","30,400円","305,871,600円"
第2323回,2008/04/23,2635,54口,"792,400円",451口,"33,000円",102口,"412,700円","2,408口","16,500円","310,067,200円"
第2324回,2008/04/24,1106,90口,"484,200円",245口,"40,300円",238口,"262,200円","1,135口","20,100円","308,440,000円"
第2325回,2008/04/25,9434,16口,"1,547,400円",150口,"128,900円",58口,"838,100円",904口,"64,400円","335,560,000円"
第2326回,2008/04/28,8137,32口,"1,019,000円",638口,"42,400円",98口,"530,700円","2,821口","21,200円","381,346,200円"
第2327回,2008/04/29,5048,42口,"871,500円",359口,"36,300円",98口,"453,900円","1,679口","18,100円","276,922,000円"
第2328回,2008/04/30,5249,36口,"1,060,000円",379口,"44,100円",80口,"552,000円","1,969口","22,000円","316,799,200円"
