2018/07/03,6830,10口,"1,251,300円",310口,"52,100円",45口,"651,700円","1,311口","26,000円"
2018/07/04,6894,23口,"924,400円",391口,"38,500円",54口,"481,400円","1,743口","19,200円"
2018/07/05,8943,39口,"674,700円",395口,"28,100円",100口,"351,400円","1,638口","14,000円"
2018/07/06,7278,10口,"1,587,300円",119口,"132,200円",29口,"859,700円",616口,"66,100円"
2018/07/09,5452,29口,"1,054,700円",157口,"87,800円",60口,"571,200円",726口,"43,900円"
2018/07/10,3155,22口,"821,100円",165口,"68,400円",82口,"444,700円",781口,"34,200円"
2018/07/11,2336,33口,"832,800円",152口,"69,400円",64口,"451,100円",812口,"34,700円"
2018/07/12,0555,17口,"1,025,600円",83口,"256,400円",50口,"641,000円",188口,"128,200円"
2018/07/13,1963,57口,"484,700円",468口,"20,100円",177口,"252,400円","1,745口","10,000円"
2018/07/16,6817,19口,"1,058,700円",305口,"44,100円",62口,"551,400円","1,364口","22,000円"
2018/07/17,8652,15口,"928,100円",343口,"38,600円",63口,"483,300円","1,612口","19,300円"
2018/07/18,7908,12口,"1,042,900円",306口,"43,400円",65口,"543,100円","1,476口","21,700円"
2018/07/19,0774,21口,"968,300円",141口,"80,600円",65口,"524,400円",644口,"40,300円"
2018/07/20,4061,25口,"881,600円",287口,"36,700円",72口,"459,100円","1,630口","18,300円"
2018/07/23,8827,18口,"1,153,800円",125口,"96,100円",64口,"624,900円",651口,"48,000円"
2018/07/24,3127,27口,"801,400円",321口,"33,300円",74口,"417,300円","1,502口","16,600円"
2018/07/25,2850,26口,"916,300円",335口,"38,100円",62口,"477,200円","1,421口","19,000円"
2018/07/26,9125,22口,"833,900円",380口,"34,700円",64口,"434,300円","1,942口","17,300円"
2018/07/27,7015,20口,"935,300円",353口,"38,900円",72口,"487,100円","1,515口","19,400円"
2018/07/30,2120,39口,"643,700円",509口,"53,600円",97口,"348,600円","1,383口","26,800円"
2018/07/31,7706,14口,"1,427,200円",101口,"118,900円",45口,"773,000円",532口,"59,400円"
