2003/02/05,9231,37口,"1,096,000円",791口,"45,600円",121口,"570,800円","4,026口","22,800円","528,179,200円"
2003/02/07,0027,74口,"801,900円",512口,"66,800円",172口,"434,300円","2,439口","33,400円","555,035,000円"
2003/02/10,6507,63口,"1,082,800円",627口,"45,100円",153口,"563,900円","3,278口","22,500円","570,560,200円"
2003/02/12,3361,57口,"1,015,200円",316口,"84,600円",132口,"549,900円","1,782口","42,300円","516,838,600円"
2003/02/14,7804,37口,"1,440,000円",574口,"60,000円",109口,"750,000円","2,769口","30,000円","561,210,400円"
2003/02/17,6964,59口,"959,600円",430口,"79,900円",141口,"519,700円","2,403口","39,900円","578,657,400円"
2003/02/19,0452,37口,"1,139,100円",839口,"47,400円",91口,"593,200円","4,270口","23,700円","527,329,200円"
2003/02/21,6191,59口,"995,100円",414口,"82,900円",118口,"539,000円","2,231口","41,400円","553,666,800円"
2003/02/24,0664,38口,"1,385,300円",264口,"115,400円",122口,"750,300円","1,335口","57,700円","559,418,600円"
2003/02/26,7718,47口,"1,121,900円",268口,"93,400円",164口,"607,600円","1,455口","46,700円","545,474,200円"
2003/02/28,2868,55口,"966,300円",438口,"80,500円",173口,"523,400円","1,979口","40,200円","574,801,800円"
