2005/03/02,0695,13口,"1,725,400円",339口,"71,800円",46口,"898,600円","2,177口","35,900円","369,764,800円"
2005/03/03,8015,51口,"818,600円",530口,"34,100円",132口,"426,300円","2,851口","17,000円","366,078,000円"
2005/03/04,8284,39口,"1,139,000円",220口,"94,900円",95口,"616,900円",930口,"47,400円","373,458,800円"
2005/03/07,3021,59口,"894,300円",885口,"37,200円",99口,"465,700円","4,051口","18,600円","460,752,000円"
2005/03/08,1615,58口,"776,400円",253口,"64,700円",123口,"420,500円","1,421口","32,300円","353,550,400円"
2005/03/09,9419,32口,"1,070,500円",248口,"89,200円",93口,"579,800円","1,210口","44,600円","365,075,000円"
2005/03/10,7514,47口,"856,000円",499口,"35,600円",128口,"445,800円","2,536口","17,800円","356,279,600円"
2005/03/11,0351,33口,"994,000円",551口,"41,400円",88口,"517,700円","3,242口","20,700円","374,049,800円"
2005/03/14,1564,61口,"859,000円",719口,"35,700円",147口,"447,300円","3,124口","17,800円","444,048,600円"
2005/03/15,5566,53口,"796,300円",105口,"132,700円",151口,"464,500円",463口,"66,300円","348,926,800円"
2005/03/16,6788,50口,"866,200円",226口,"72,100円",128口,"469,100円","1,176口","36,000円","360,287,200円"
2005/03/17,6690,36口,"1,148,400円",148口,"95,700円",86口,"622,000円",932口,"47,800円","341,330,400円"
2005/03/18,1103,227口,"286,400円",428口,"23,800円",433口,"155,100円","2,364口","11,900円","379,205,800円"
2005/03/21,0710,76口,"580,500円",404口,"48,300円",212口,"314,400円","1,674口","24,100円","379,642,200円"
2005/03/22,3325,63口,"728,100円",192口,"60,600円",135口,"394,300円","1,067口","30,300円","318,113,200円"
2005/03/23,1159,37口,"924,600円",232口,"77,000円",103口,"500,800円","1,149口","38,500円","328,750,000円"
2005/03/24,9802,28口,"969,400円",450口,"40,300円",103口,"504,800円","2,594口","20,100円","332,712,800円"
2005/03/25,9681,26口,"1,153,600円",483口,"48,000円",75口,"600,800円","2,770口","24,000円","366,344,600円"
2005/03/28,2796,49口,"1,074,700円",456口,"44,700円",110口,"559,700円","2,495口","22,300円","423,365,200円"
2005/03/29,7836,37口,"989,300円",434口,"41,200円",94口,"515,200円","2,315口","20,600円","334,790,600円"
2005/03/30,2604,30口,"1,187,000円",449口,"49,400円",68口,"618,200円","2,350口","24,700円","351,047,000円"
2005/03/31,8376,35口,"1,089,000円",450口,"45,300円",83口,"567,100円","2,284口","22,600円","349,859,200円"
