第2762回,2010/01/05,1453,42口,"787,800円",563口,"32,800円",98口,"410,300円","2,809口","16,400円","306,430,200円"
第2763回,2010/01/06,8855,25口,"1,057,200円",85口,"176,200円",93口,"616,700円",362口,"88,100円","290,357,600円"
第2764回,2010/01/07,9312,24口,"1,057,800円",452口,"44,000円",79口,"550,900円","2,117口","22,000円","301,089,600円"
第2765回,2010/01/08,4793,30口,"923,400円",512口,"38,400円",112口,"480,900円","2,332口","19,200円","324,748,800円"
第2766回,2010/01/11,1616,58口,"897,300円",122口,"149,500円",114口,"523,400円",380口,"74,700円","351,977,000円"
第2767回,2010/01/12,3172,45口,"864,100円",449口,"36,000円",73口,"450,000円","2,402口","18,000円","291,434,200円"
第2768回,2010/01/13,3403,21口,"1,193,300円",191口,"99,400円",66口,"646,300円",872口,"49,700円","289,049,800円"
第2769回,2010/01/14,8115,30口,"1,109,800円",179口,"92,400円",72口,"601,100円",896口,"46,200円","299,043,400円"
第2770回,2010/01/15,5734,29口,"913,400円",494口,"38,000円",116口,"475,700円","2,184口","19,000円","315,632,200円"
第2771回,2010/01/18,3647,51口,"782,300円",628口,"32,500円",142口,"407,400円","2,811口","16,200円","364,545,400円"
第2772回,2010/01/19,0451,22口,"1,294,700円",350口,"53,900円",40口,"674,300円","2,189口","26,900円","296,407,200円"
第2773回,2010/01/20,6856,29口,"1,372,400円",164口,"114,300円",42口,"743,300円",831口,"57,100円","305,113,000円"
第2774回,2010/01/21,3679,37口,"737,600円",459口,"30,700円",155口,"384,100円","2,435口","15,300円","307,474,200円"
第2775回,2010/01/22,8303,27口,"1,142,100円",166口,"95,100円",86口,"618,600円",957口,"47,500円","323,084,800円"
第2776回,2010/01/25,5686,44口,"988,300円",283口,"82,300円",102口,"535,300円","1,152口","41,100円","375,208,200円"
第2777回,2010/01/26,2360,31口,"1,109,100円",464口,"46,200円",62口,"577,600円","2,079口","23,100円","310,394,800円"
第2778回,2010/01/27,0639,38口,"770,100円",559口,"32,000円",126口,"401,000円","2,638口","16,000円","311,287,800円"
第2779回,2010/01/28,9954,17口,"1,235,900円",183口,"102,900円",82口,"669,400円",930口,"51,400円","316,994,600円"
第2780回,2010/01/29,7335,29口,"1,184,100円",205口,"98,600円",69口,"641,300円","1,095口","49,300円","339,687,600円"
