2014/10/02,9962,15口,"1,002,100円",172口,"83,500円",65口,"542,800円",875口,"41,700円","224,926,000円"
2014/10/03,4264,24口,"832,900円",139口,"69,400円",106口,"451,100円",732口,"34,700円","228,608,000円"
2014/10/06,1482,29口,"860,000円",455口,"35,800円",81口,"447,900円","1,860口","17,900円","246,337,200円"
2014/10/07,9948,15口,"990,700円",180口,"82,500円",69口,"536,600円",694口,"41,200円","212,007,800円"
2014/10/08,7188,13口,"1,139,400円",144口,"94,900円",63口,"617,100円",706口,"47,400円","224,195,800円"
2014/10/09,4891,28口,"699,700円",532口,"29,100円",80口,"364,400円","2,325口","14,500円","218,113,000円"
2014/10/10,7615,15口,"1,341,600円",292口,"55,900円",41口,"698,700円","1,352口","27,900円","228,635,400円"
2014/10/13,2604,21口,"984,500円",364口,"41,000円",64口,"512,700円","1,530口","20,500円","221,787,600円"
2014/10/14,5163,22口,"807,400円",343口,"33,600円",79口,"420,500円","1,692口","16,800円","202,193,200円"
2014/10/15,3549,15口,"915,600円",398口,"38,100円",88口,"476,800円","1,778口","19,000円","232,890,800円"
2014/10/16,5051,15口,"1,180,200円",153口,"98,300円",57口,"639,200円",726口,"49,100円","233,093,200円"
2014/10/17,0134,15口,"1,074,500円",422口,"44,700円",50口,"559,600円","1,913口","22,300円","235,152,000円"
2014/10/20,1018,306口,"168,000円",439口,"14,000円",579口,"91,000円","1,188口","7,000円","263,598,000円"
2014/10/21,0793,12口,"1,234,600円",275口,"51,400円",48口,"643,000円","1,440口","25,700円","215,255,000円"
2014/10/22,3915,26口,"776,900円",406口,"32,300円",80口,"404,600円","2,048口","16,100円","219,702,200円"
2014/10/23,4784,11口,"1,107,100円",149口,"92,200円",68口,"599,600円",737口,"46,100円","223,779,200円"
2014/10/24,1542,15口,"1,222,900円",358口,"50,900円",45口,"636,900円","1,620口","25,400円","236,722,000円"
2014/10/27,7383,14口,"1,265,000円",200口,"105,400円",50口,"685,200円",904口,"52,700円","268,242,200円"
2014/10/28,9209,12口,"1,300,100円",146口,"108,300円",41口,"704,200円",734口,"54,100円","222,350,400円"
2014/10/29,4344,37口,"609,100円",90口,"152,200円",130口,"380,600円",243口,"76,100円","231,653,600円"
2014/10/30,9124,14口,"984,800円",435口,"41,000円",62口,"512,900円","1,886口","20,500円","226,968,400円"
2014/10/31,0621,68口,"411,800円",577口,"17,100円",209口,"214,400円","2,691口","8,500円","235,162,800円"
