第4742回,2017/09/04,0053,14口,"1,013,000円",308口,"84,400円",61口,"548,700円",917口,"42,200円"
第4743回,2017/09/05,7614,13口,"1,085,600円",341口,"45,200円",53口,"565,400円","1,509口","22,600円"
第4744回,2017/09/06,0137,14口,"1,116,700円",433口,"46,500円",27口,"581,600円","1,882口","23,200円"
第4745回,2017/09/07,7259,20口,"872,100円",483口,"36,300円",65口,"454,200円","1,663口","18,100円"
第4746回,2017/09/08,4538,20口,"914,600円",434口,"38,100円",67口,"476,300円","1,776口","19,000円"
第4747回,2017/09/11,2023,36口,"924,800円",187口,"77,000円",67口,"500,900円",766口,"38,500円"
第4748回,2017/09/12,7436,8口,"1,096,500円",390口,"45,600円",49口,"571,000円","1,537口","22,800円"
第4749回,2017/09/13,0490,6口,"1,822,100円",106口,"151,800円",20口,"986,900円",643口,"75,900円"
第4750回,2017/09/14,0531,51口,"500,700円",445口,"20,800円",139口,"260,700円","2,218口","10,400円"
第4751回,2017/09/15,1936,33口,"658,500円",431口,"27,400円",112口,"342,900円","1,976口","13,700円"
第4752回,2017/09/18,2682,12口,"1,102,900円",178口,"91,900円",60口,"597,400円",736口,"45,900円"
第4753回,2017/09/19,3613,9口,"1,035,000円",127口,"86,200円",75口,"560,600円",641口,"43,100円"
第4754回,2017/09/20,5012,24口,"833,200円",370口,"34,700円",64口,"433,900円","1,863口","17,300円"
第4755回,2017/09/21,2100,12口,"953,200円",238口,"79,400円",39口,"516,300円","1,068口","39,700円"
第4756回,2017/09/22,3162,22口,"771,500円",510口,"32,100円",71口,"401,800円","2,037口","16,000円"
第4757回,2017/09/25,9810,29口,"725,600円",614口,"30,200円",89口,"377,900円","2,522口","15,100円"
第4758回,2017/09/26,1431,20口,"1,017,200円",183口,"84,700円",47口,"550,900円",737口,"42,300円"
第4759回,2017/09/27,5224,23口,"953,500円",183口,"79,400円",49口,"516,400円",828口,"39,700円"
第4760回,2017/09/28,0671,9口,"1,493,100円",254口,"62,200円",29口,"777,600円","1,339口","31,100円"
第4761回,2017/09/29,3236,19口,"908,200円",178口,"75,600円",77口,"491,900円",869口,"37,800円"
