第4459回,2016/08/01,2913,45口,"742,000円",417口,"30,900円",96口,"386,400円","1,922口","15,400円"
第4460回,2016/08/02,9083,25口,"842,400円",348口,"35,100円",77口,"438,700円","1,557口","17,500円"
第4461回,2016/08/03,5813,29口,"737,100円",452口,"30,700円",87口,"383,900円","2,003口","15,300円"
第4462回,2016/08/04,9995,16口,"1,075,200円",52口,"268,800円",63口,"672,000円",178口,"134,400円"
第4463回,2016/08/05,2008,34口,"850,400円",175口,"70,800円",71口,"460,600円",713口,"35,400円"
第4464回,2016/08/08,9401,19口,"1,158,700円",352口,"48,200円",48口,"603,400円","1,658口","24,100円"
第4465回,2016/08/09,8391,21口,"662,500円",533口,"27,600円",80口,"345,000円","2,508口","13,800円"
第4466回,2016/08/10,0668,14口,"1,324,600円",112口,"110,300円",44口,"717,400円",633口,"55,100円"
第4467回,2016/08/11,7869,19口,"778,500円",449口,"32,400円",71口,"405,400円","1,910口","16,200円"
第4468回,2016/08/12,4605,12口,"1,255,800円",254口,"52,300円",52口,"654,000円","1,311口","26,100円"
第4469回,2016/08/15,8208,22口,"1,258,200円",162口,"104,800円",43口,"681,500円",705口,"52,400円"
第4470回,2016/08/16,0311,34口,"551,900円",258口,"45,900円",109口,"298,900円","1,416口","22,900円"
第4471回,2016/08/17,1065,12口,"1,038,900円",322口,"43,200円",67口,"541,000円","1,693口","21,600円"
第4472回,2016/08/18,3838,52口,"566,400円",133口,"94,400円",108口,"330,400円",426口,"47,200円"
第4473回,2016/08/19,5863,23口,"693,000円",617口,"28,800円",90口,"360,900円","2,471口","14,400円"
第4474回,2016/08/22,1776,24口,"993,200円",145口,"82,700円",79口,"537,900円",705口,"41,300円"
第4475回,2016/08/23,4097,22口,"762,100円",416口,"31,700円",83口,"396,900円","1,964口","15,800円"
第4476回,2016/08/24,9484,18口,"1,363,800円",132口,"113,600円",30口,"738,700円",643口,"56,800円"
第4477回,2016/08/25,1904,10口,"1,065,000円",397口,"44,300円",57口,"554,600円","1,861口","22,100円"
第4478回,2016/08/26,8699,19口,"874,000円",181口,"72,800円",87口,"473,400円",910口,"36,400円"
第4479回,2016/08/29,9929,13口,"1,279,300円",60口,"319,800円",66口,"799,500円",165口,"159,900円"
第4480回,2016/08/30,7736,12口,"1,176,000円",125口,"98,000円",58口,"637,000円",646口,"49,000円"
第4481回,2016/08/31,1355,23口,"930,800円",184口,"77,500円",73口,"504,100円",843口,"38,700円"
