第2544回,2009/03/03,9065,33口,"558,400円",826口,"23,200円",159口,"290,800円","4,293口","11,600円","297,402,200円"
第2545回,2009/03/04,7020,30口,"1,114,600円",189口,"92,800円",67口,"603,700円",976口,"46,400円","303,950,800円"
第2546回,2009/03/05,8962,14口,"1,237,300円",382口,"51,500円",75口,"644,400円","2,181口","25,700円","314,606,800円"
第2547回,2009/03/06,6459,37口,"1,022,300円",331口,"42,500円",91口,"532,400円","1,921口","21,200円","313,992,000円"
第2548回,2009/03/09,4947,58口,"796,400円",262口,"66,300円",146口,"431,300円","1,143口","33,100円","365,558,000円"
第2549回,2009/03/10,3865,55口,"652,300円",620口,"27,100円",119口,"339,700円","2,988口","13,500円","297,254,800円"
第2550回,2009/03/11,6685,30口,"963,600円",199口,"80,300円",85口,"521,900円","1,124口","40,100円","298,630,200円"
第2551回,2009/03/12,9910,38口,"910,200円",179口,"75,800円",96口,"493,000円","1,170口","37,900円","310,817,600円"
第2552回,2009/03/13,0758,16口,"1,471,700円",331口,"61,300円",57口,"766,500円","1,748口","30,600円","313,626,400円"
第2553回,2009/03/16,4101,35口,"876,100円",290口,"73,000円",109口,"474,500円","1,582口","36,500円","358,498,400円"
第2554回,2009/03/17,2515,43口,"814,300円",213口,"67,800円",99口,"441,000円","1,085口","33,900円","288,789,000円"
第2555回,2009/03/18,5429,33口,"933,900円",428口,"38,900円",93口,"486,400円","2,021口","19,400円","293,422,600円"
第2556回,2009/03/19,3561,43口,"857,100円",444口,"35,700円",94口,"446,400円","2,258口","17,800円","300,005,000円"
第2557回,2009/03/20,8451,31口,"732,700円",491口,"30,500円",126口,"381,600円","2,355口","15,200円","270,546,400円"
第2558回,2009/03/23,8887,19口,"1,592,400円",61口,"398,100円",49口,"995,200円",246口,"199,000円","338,398,000円"
第2559回,2009/03/24,6941,21口,"1,010,400円",386口,"42,100円",81口,"526,200円","2,127口","21,000円","277,489,800円"
第2560回,2009/03/25,4776,35口,"968,200円",180口,"80,600円",81口,"524,400円",949口,"40,300円","287,065,200円"
第2561回,2009/03/26,3709,25口,"1,162,000円",325口,"48,400円",87口,"605,200円","1,609口","24,200円","303,093,000円"
第2562回,2009/03/27,3669,62口,"586,200円",285口,"48,800円",192口,"317,500円","1,275口","24,400円","316,427,000円"
第2563回,2009/03/30,2849,25口,"1,193,200円",473口,"49,700円",89口,"621,400円","2,029口","24,800円","353,553,400円"
第2564回,2009/03/31,4997,24口,"1,026,900円",184口,"85,500円",92口,"556,200円",963口,"42,700円","295,051,400円"
