第4547回,2016/12/01,3057,20口,"862,000円",384口,"35,900円",88口,"448,900円","1,724口","17,900円"
第4548回,2016/12/02,3669,78口,"588,500円",202口,"49,000円",93口,"318,700円",791口,"24,500円"
第4549回,2016/12/05,0261,11口,"873,600円",850口,"36,400円",41口,"455,000円","3,255口","18,200円"
第4550回,2016/12/06,0750,12口,"1,277,400円",123口,"106,400円",52口,"691,900円",599口,"53,200円"
第4551回,2016/12/07,4802,17口,"1,015,900円",350口,"42,300円",71口,"529,100円","1,511口","21,100円"
第4552回,2016/12/08,9583,28口,"830,100円",487口,"34,500円",62口,"432,300円","1,955口","17,200円"
第4553回,2016/12/09,7633,23口,"915,800円",175口,"76,300円",83口,"496,000円",765口,"38,100円"
第4554回,2016/12/12,4761,13口,"1,173,200円",422口,"48,800円",58口,"611,000円","1,879口","24,400円"
第4555回,2016/12/13,6612,15口,"1,125,000円",151口,"93,700円",61口,"609,300円",591口,"46,800円"
第4556回,2016/12/14,6007,15口,"1,275,900円",135口,"106,300円",53口,"691,100円",595口,"53,100円"
第4557回,2016/12/15,4796,16口,"902,400円",429口,"37,600円",88口,"470,000円","1,911口","18,800円"
第4558回,2016/12/16,6121,32口,"546,800円",454口,"45,500円",87口,"296,100円","2,000口","22,700円"
第4559回,2016/12/19,0420,40口,"833,000円",167口,"69,400円",125口,"451,200円",670口,"34,700円"
第4560回,2016/12/20,8322,24口,"1,092,500円",138口,"91,000円",52口,"591,700円",739口,"45,500円"
第4561回,2016/12/21,3080,22口,"1,028,700円",198口,"85,700円",57口,"557,200円",878口,"42,800円"
第4562回,2016/12/22,6058,10口,"1,178,600円",302口,"49,100円",75口,"613,800円","1,375口","24,500円"
第4563回,2016/12/23,1018,102口,"335,200円",267口,"27,900円",263口,"181,500円",942口,"13,900円"
第4564回,2016/12/26,4753,30口,"865,000円",486口,"36,000円",99口,"450,500円","1,989口","18,000円"
第4565回,2016/12/27,0905,34口,"653,500円",206口,"54,400円",134口,"353,900円",807口,"27,200円"
第4566回,2016/12/28,7703,18口,"1,044,200円",171口,"87,000円",82口,"565,600円",702口,"43,500円"
第4567回,2016/12/29,7546,14口,"977,900円",441口,"40,700円",78口,"509,300円","1,827口","20,300円"
第4568回,2016/12/30,3598,15口,"1,022,000円",444口,"42,500円",69口,"532,200円","1,972口","21,200円"
