2018/06/04,173,81口,"90,700円",752口,"15,100円",191口,"52,900円","1,337口","7,500円",420口,"9,000円"
2018/06/05,269,80口,"94,300円",452口,"15,700円",165口,"55,000円",860口,"7,800円",406口,"9,400円"
2018/06/06,557,90口,"107,000円",198口,"35,600円",129口,"71,300円",200口,"17,800円",409口,"10,700円"
2018/06/07,653,63口,"100,100円",479口,"16,600円",150口,"58,300円",922口,"8,300円",399口,"10,000円"
2018/06/08,137,87口,"79,100円",621口,"13,100円",201口,"46,100円","1,195口","6,500円",545口,"7,900円"
2018/06/11,413,90口,"91,600円",538口,"15,200円",241口,"53,400円",915口,"7,600円",558口,"9,100円"
2018/06/12,193,93口,"67,400円",622口,"11,200円",284口,"39,300円","1,193口","5,600円",402口,"6,700円"
2018/06/13,642,55口,"89,500円",602口,"14,900円",145口,"52,200円","1,248口","7,400円",444口,"8,900円"
2018/06/14,487,48口,"123,600円",358口,"20,600円",111口,"72,100円",797口,"10,300円",431口,"12,300円"
2018/06/15,765,74口,"96,400円",578口,"16,000円",162口,"56,200円","1,001口","8,000円",651口,"9,600円"
2018/06/18,119,183口,"69,200円",371口,"23,000円",335口,"46,100円",366口,"11,500円",587口,"6,900円"
2018/06/19,182,32口,"114,600円",534口,"19,100円",115口,"66,800円","1,153口","9,500円",288口,"11,400円"
2018/06/20,912,98口,"67,900円",660口,"11,300円",247口,"39,600円","1,427口","5,600円",461口,"6,700円"
2018/06/21,018,72口,"87,700円",598口,"14,600円",161口,"51,100円","1,245口","7,300円",515口,"8,700円"
2018/06/22,001,108口,"82,500円",343口,"27,500円",190口,"55,000円",369口,"13,700円",615口,"8,200円"
2018/06/25,549,56口,"109,900円",555口,"18,300円",196口,"64,100円","1,096口","9,100円",453口,"10,900円"
2018/06/26,256,88口,"84,200円",545口,"14,000円",196口,"49,100円","1,016口","7,000円",419口,"8,400円"
2018/06/27,032,61口,"108,000円",428口,"18,000円",118口,"63,000円",948口,"9,000円",476口,"10,800円"
2018/06/28,751,45口,"95,600円",590口,"15,900円",158口,"55,700円","1,236口","7,900円",325口,"9,500円"
2018/06/29,349,54口,"112,300円",445口,"18,700円",154口,"65,500円",931口,"9,300円",366口,"11,200円"
