2018/05/02,372,147口,"66,100円",661口,"11,000円",222口,"38,500円","1,412口","5,500円",457口,"6,600円"
2018/05/03,589,76口,"89,200円",427口,"14,800円",208口,"52,000円",773口,"7,400円",397口,"8,900円"
2018/05/04,119,107口,"68,900円",312口,"22,900円",287口,"45,900円",336口,"11,400円",422口,"6,800円"
2018/05/07,299,77口,"94,100円",366口,"31,300円",144口,"62,700円",490口,"15,600円",601口,"9,400円"
2018/05/08,909,86口,"86,200円",289口,"28,700円",163口,"57,400円",307口,"14,300円",456口,"8,600円"
2018/05/09,037,37口,"110,300円",434口,"18,300円",116口,"64,300円",968口,"9,100円",495口,"11,000円"
2018/05/10,402,72口,"94,100円",440口,"15,600円",231口,"54,800円",775口,"7,800円",279口,"9,400円"
2018/05/11,030,52口,"90,600円",376口,"30,200円",183口,"60,400円",411口,"15,100円",421口,"9,000円"
2018/05/14,604,98口,"114,400円",422口,"19,000円",165口,"66,700円",690口,"9,500円",488口,"11,400円"
2018/05/15,497,41口,"118,600円",384口,"19,700円",147口,"69,100円",766口,"9,800円",380口,"11,800円"
2018/05/16,909,91口,"90,200円",316口,"30,000円",137口,"60,100円",344口,"15,000円",486口,"9,000円"
2018/05/17,851,72口,"77,800円",626口,"12,900円",194口,"45,300円","1,328口","6,400円",468口,"7,700円"
2018/05/18,934,48口,"102,600円",469口,"17,100円",187口,"59,800円",969口,"8,500円",347口,"10,200円"
2018/05/21,109,130口,"73,600円",689口,"12,200円",320口,"42,900円","1,071口","6,100円",584口,"7,300円"
2018/05/22,531,109口,"68,100円",663口,"11,300円",246口,"39,700円","1,193口","5,600円",387口,"6,800円"
2018/05/23,393,73口,"84,700円",371口,"28,200円",142口,"56,400円",393口,"14,100円",374口,"8,400円"
2018/05/24,496,44口,"115,200円",442口,"19,200円",135口,"67,200円",861口,"9,600円",307口,"11,500円"
2018/05/25,535,62口,"104,200円",288口,"34,700円",162口,"69,400円",286口,"17,300円",468口,"10,400円"
2018/05/28,513,168口,"64,600円","1,000口","10,700円",296口,"37,600円","1,526口","5,300円",462口,"6,400円"
2018/05/29,797,87口,"108,700円",206口,"36,200円",154口,"72,400円",209口,"18,100円",284口,"10,800円"
2018/05/30,648,65口,"90,800円",525口,"15,100円",183口,"52,900円",963口,"7,500円",398口,"9,000円"
2018/05/31,319,106口,"65,800円",597口,"10,900円",325口,"38,300円","1,178口","5,400円",433口,"6,500円"
