第0955回,2002/01/07,845,183口,"100,500円",985口,"16,700円",412口,"58,600円","1,857口","8,300円",828口,"10,000円","184,279,400円"
第0956回,2002/01/09,981,187口,"104,700円","1,013口","17,400円",288口,"61,000円","2,008口","8,700円",374口,"10,400円","169,586,400円"
第0957回,2002/01/11,533,197口,"110,200円",474口,"36,700円",233口,"73,400円",869口,"18,300円",986口,"11,000円","184,668,800円"
第0958回,2002/01/14,454,291口,"94,700円",512口,"31,500円",248口,"63,100円",849口,"15,700円",871口,"9,400円","180,107,600円"
第0959回,2002/01/16,911,336口,"90,900円",437口,"30,300円",325口,"60,600円",689口,"15,100円",607口,"9,000円","176,611,800円"
第0960回,2002/01/18,060,224口,"119,100円",368口,"39,700円",306口,"79,400円",570口,"19,800円",553口,"11,900円","185,627,600円"
第0961回,2002/01/21,345,403口,"73,800円","1,175口","12,300円",576口,"43,000円","1,670口","6,100円",807口,"7,300円","189,413,200円"
第0962回,2002/01/23,559,228口,"112,900円",360口,"37,600円",322口,"75,200円",467口,"18,800円",632口,"11,200円","176,663,200円"
第0963回,2002/01/25,805,267口,"95,000円",909口,"15,800円",489口,"55,400円","1,511口","7,900円",701口,"9,500円","190,067,600円"
第0964回,2002/01/28,230,289口,"92,700円","1,242口","15,400円",359口,"54,000円","2,490口","7,700円",840口,"9,200円","205,540,400円"
第0965回,2002/01/30,131,491口,"54,200円",848口,"18,000円",647口,"36,100円","1,375口","9,000円",920口,"5,400円","183,878,000円"
