第3041回,2011/02/02,594,122口,"88,400円",479口,"14,700円",179口,"51,500円",810口,"7,300円","1,023口","8,800円","93,621,600円"
第3042回,2011/02/03,327,163口,"64,800円",679口,"10,800円",351口,"37,800円","1,347口","5,400円",722口,"6,400円","95,889,400円"
第3043回,2011/02/04,761,64口,"116,800円",556口,"19,400円",153口,"68,100円","1,194口","9,700円",396口,"11,600円","99,955,600円"
第3044回,2011/02/07,628,228口,"71,500円",858口,"11,900円",338口,"41,700円","1,416口","5,900円",734口,"7,100円","120,742,800円"
第3045回,2011/02/08,166,76口,"111,400円",263口,"37,100円",132口,"74,200円",403口,"18,500円",473口,"11,100円","90,710,600円"
第3046回,2011/02/09,576,62口,"112,600円",516口,"18,700円",144口,"65,600円",922口,"9,300円",517口,"11,200円","90,268,600円"
第3047回,2011/02/10,841,98口,"88,900円",553口,"14,800円",254口,"51,800円","1,232口","7,400円",474口,"8,800円","96,526,200円"
第3048回,2011/02/11,946,55口,"90,800円",540口,"15,100円",173口,"52,900円","1,165口","7,500円",694口,"9,000円","83,240,600円"
第3049回,2011/02/14,457,101口,"97,700円",598口,"16,200円",278口,"56,900円","1,001口","8,100円",662口,"9,700円","111,313,600円"
第3050回,2011/02/15,047,69口,"144,400円",379口,"24,000円",118口,"84,200円",750口,"12,000円",422口,"14,400円","98,117,800円"
第3051回,2011/02/16,205,220口,"76,500円",457口,"12,700円",268口,"44,600円",860口,"6,300円",608口,"7,600円","99,530,800円"
第3052回,2011/02/17,263,82口,"90,800円",730口,"15,100円",174口,"52,900円","1,590口","7,500円",470口,"9,000円","97,823,400円"
第3053回,2011/02/18,080,76口,"115,100円",289口,"38,300円",198口,"76,700円",305口,"19,100円",429口,"11,500円","101,853,600円"
第3054回,2011/02/21,008,101口,"122,900円",314口,"40,900円",172口,"81,900円",400口,"20,400円",584口,"12,200円","121,701,200円"
第3055回,2011/02/22,402,88口,"99,000円",488口,"16,500円",241口,"57,700円",965口,"8,200円",398口,"9,900円","94,639,800円"
第3056回,2011/02/23,374,129口,"81,000円",494口,"13,500円",296口,"47,200円","1,044口","6,700円",479口,"8,100円","93,479,200円"
第3057回,2011/02/24,004,86口,"119,500円",260口,"39,800円",134口,"79,600円",352口,"19,900円",314口,"11,900円","93,498,600円"
第3058回,2011/02/25,475,109口,"103,900円",501口,"17,300円",216口,"60,600円",885口,"8,600円",602口,"10,300円","104,472,400円"
第3059回,2011/02/28,345,248口,"56,300円","1,029口","9,300円",580口,"32,800円","1,532口","4,600円",763口,"5,600円","120,417,600円"
