第0877回,2001/07/04,589,309口,"94,100円",645口,"15,600円",387口,"54,800円","1,307口","7,800円",939口,"9,400円","176,879,200円"
第0878回,2001/07/06,318,318口,"82,400円",952口,"13,700円",481口,"48,000円","1,852口","6,800円",792口,"8,200円","181,427,400円"
第0879回,2001/07/09,908,204口,"113,800円",831口,"18,900円",403口,"66,300円","1,711口","9,400円",542口,"11,300円","195,910,200円"
第0880回,2001/07/11,678,223口,"106,000円",797口,"17,600円",384口,"61,800円","1,305口","8,800円",566口,"10,600円","175,576,200円"
第0881回,2001/07/13,494,154口,"133,800円",362口,"44,600円",242口,"89,200円",567口,"22,300円",626口,"13,300円","176,436,600円"
第0882回,2001/07/16,703,264口,"87,500円","1,015口","14,500円",524口,"51,000円","1,853口","7,200円",601口,"8,700円","185,564,400円"
第0883回,2001/07/18,745,200口,"99,300円",861口,"16,500円",352口,"57,900円","1,701口","8,200円",651口,"9,900円","166,818,600円"
第0884回,2001/07/20,388,197口,"104,200円",366口,"34,700円",261口,"69,400円",616口,"17,300円",828口,"10,400円","157,103,000円"
第0885回,2001/07/23,307,262口,"92,600円",874口,"15,400円",461口,"54,000円","1,509口","7,700円",471口,"9,200円","174,925,800円"
第0886回,2001/07/25,302,201口,"110,700円",638口,"18,400円",305口,"64,500円","1,436口","9,200円",460口,"11,000円","160,240,800円"
第0887回,2001/07/27,672,160口,"94,300円","1,244口","15,700円",294口,"55,000円","2,756口","7,800円",599口,"9,400円","173,751,400円"
第0888回,2001/07/30,691,172口,"114,100円",910口,"19,000円",278口,"66,500円","2,000口","9,500円",618口,"11,400円","181,226,800円"
