第4848回,2018/02/02,291,62口,"85,300円",637口,"14,200円",217口,"49,700円","1,238口","7,100円",347口,"8,500円"
第4849回,2018/02/05,461,102口,"94,400円",649口,"15,700円",183口,"55,000円","1,113口","7,800円",518口,"9,400円"
第4850回,2018/02/06,139,72口,"87,700円",497口,"14,600円",150口,"51,100円","1,094口","7,300円",539口,"8,700円"
第4851回,2018/02/07,138,85口,"64,300円",674口,"10,700円",273口,"37,500円","1,532口","5,300円",541口,"6,400円"
第4852回,2018/02/08,448,71口,"102,400円",251口,"34,100円",153口,"68,200円",248口,"17,000円",424口,"10,200円"
第4853回,2018/02/09,936,68口,"77,100円",644口,"12,800円",227口,"44,900円","1,502口","6,400円",506口,"7,700円"
第4854回,2018/02/12,221,123口,"53,200円",642口,"17,700円",249口,"35,400円",940口,"8,800円",668口,"5,300円"
第4855回,2018/02/13,876,38口,"141,900円",340口,"23,600円",96口,"82,700円",612口,"11,800円",269口,"14,100円"
第4856回,2018/02/14,347,89口,"81,300円",446口,"13,500円",220口,"47,400円",846口,"6,700円",538口,"8,100円"
第4857回,2018/02/15,631,80口,"83,100円",662口,"13,800円",180口,"48,400円","1,418口","6,900円",498口,"8,300円"
第4858回,2018/02/16,725,176口,"57,800円",684口,"9,600円",398口,"33,700円","1,212口","4,800円",593口,"5,700円"
第4859回,2018/02/19,949,64口,"150,900円",204口,"50,300円",114口,"100,600円",240口,"25,100円",477口,"15,000円"
第4860回,2018/02/20,271,118口,"49,500円",957口,"8,200円",382口,"28,800円","2,102口","4,100円",412口,"4,900円"
第4861回,2018/02/21,545,53口,"151,500円",161口,"50,500円",89口,"101,000円",179口,"25,200円",411口,"15,100円"
第4862回,2018/02/22,320,90口,"85,300円",451口,"14,200円",254口,"49,700円",871口,"7,100円",320口,"8,500円"
第4863回,2018/02/23,060,94口,"105,300円",264口,"35,100円",135口,"70,200円",267口,"17,500円",479口,"10,500円"
第4864回,2018/02/26,060,77口,"133,600円",258口,"44,500円",133口,"89,000円",310口,"22,200円",273口,"13,300円"
第4865回,2018/02/27,350,45口,"115,500円",428口,"19,200円",126口,"67,300円",880口,"9,600円",443口,"11,500円"
第4866回,2018/02/28,839,61口,"86,400円",547口,"14,400円",218口,"50,400円","1,162口","7,200円",466口,"8,600円"
