2004/03/03,030,169口,"128,800円",302口,"42,900円",232口,"85,800円",436口,"21,400円",676口,"12,800円","161,647,600円"
2004/03/05,407,213口,"98,500円",738口,"16,400円",417口,"57,400円","1,328口","8,200円",724口,"9,800円","166,950,600円"
2004/03/08,162,176口,"89,100円","1,338口","14,800円",299口,"51,900円","2,754口","7,400円",857口,"8,900円","176,024,200円"
2004/03/10,517,282口,"72,400円","1,059口","12,000円",534口,"42,200円","1,810口","6,000円",716口,"7,200円","159,702,600円"
2004/03/12,725,308口,"68,000円","1,226口","11,300円",566口,"39,600円","1,824口","5,600円",895口,"6,800円","163,876,000円"
2004/03/15,000,893口,"80,100円",該当なし,該当なし,該当なし,該当なし,該当なし,該当なし,972口,"8,000円","176,419,600円"
2004/03/17,558,212口,"98,300円",365口,"32,700円",332口,"65,500円",365口,"16,300円",910口,"9,800円","154,439,600円"
2004/03/19,170,107口,"127,000円",783口,"21,100円",207口,"74,000円","1,611口","10,500円",655口,"12,700円","157,515,200円"
2004/03/22,893,235口,"88,100円",793口,"14,600円",370口,"51,300円","1,704口","7,300円",861口,"8,800円","158,833,400円"
2004/03/24,526,270口,"73,600円",909口,"12,200円",421口,"42,900円","1,687口","6,100円",974口,"7,300円","148,191,600円"
2004/03/26,174,196口,"64,900円","1,632口","10,800円",477口,"37,800円","3,486口","5,400円",616口,"6,400円","158,493,200円"
2004/03/29,211,276口,"83,200円",539口,"27,700円",349口,"55,400円",791口,"13,800円",877口,"8,300円","168,011,200円"
2004/03/31,590,117口,"124,000円",652口,"20,600円",275口,"72,300円","1,372口","10,300円",511口,"12,400円","152,002,600円"
