2019/12/03,242,60口,"92,400円",367口,"30,800円",137口,"61,600円",600口,"15,400円",511口,"9,200円"
2019/12/04,895,40口,"132,400円",416口,"22,000円",151口,"77,200円",811口,"11,000円",301口,"13,200円"
2019/12/05,340,119口,"88,100円",528口,"14,600円",222口,"51,300円",944口,"7,300円",296口,"8,800円"
2019/12/06,694,83口,"89,400円",517口,"14,900円",249口,"52,100円","1,196口","7,400円",429口,"8,900円"
2019/12/09,869,99口,"99,200円",591口,"16,500円",222口,"57,800円","1,020口","8,200円",661口,"9,900円"
2019/12/10,436,60口,"88,000円",593口,"14,600円",199口,"51,300円","1,254口","7,300円",650口,"8,800円"
2019/12/11,247,80口,"78,200円",650口,"13,000円",244口,"45,600円","1,403口","6,500円",666口,"7,800円"
2019/12/12,844,74口,"99,100円",287口,"33,000円",141口,"66,000円",380口,"16,500円",743口,"9,900円"
2019/12/13,865,83口,"93,800円",680口,"15,600円",228口,"54,700円","1,272口","7,800円",529口,"9,300円"
2019/12/16,491,83口,"115,400円",645口,"19,200円",198口,"67,300円","1,205口","9,600円",597口,"11,500円"
2019/12/17,392,82口,"84,500円",662口,"14,000円",216口,"49,200円","1,463口","7,000円",463口,"8,400円"
2019/12/18,626,93口,"99,500円",284口,"33,100円",206口,"66,300円",319口,"16,500円",487口,"9,900円"
2019/12/19,680,61口,"111,400円",476口,"18,500円",165口,"64,900円",976口,"9,200円",561口,"11,100円"
2019/12/20,325,162口,"70,500円",631口,"11,700円",372口,"41,100円","1,172口","5,800円",535口,"7,000円"
2019/12/23,349,103口,"87,400円",857口,"14,500円",262口,"50,900円","1,357口","7,200円",775口,"8,700円"
2019/12/24,079,62口,"130,700円",405口,"21,700円",119口,"76,200円",886口,"10,800円",467口,"13,000円"
2019/12/25,113,177口,"67,300円",356口,"22,400円",342口,"44,800円",428口,"11,200円",572口,"6,700円"
2019/12/26,914,82口,"88,200円",598口,"14,700円",275口,"51,400円","1,050口","7,300円",537口,"8,800円"
2019/12/27,475,72口,"103,800円",574口,"17,300円",239口,"60,500円","1,061口","8,600円",559口,"10,300円"
2019/12/30,721,246口,"49,500円","1,191口","8,200円",665口,"28,800円","2,298口","4,100円",615口,"4,900円"
