第4676回,2017/06/02,622,89口,"75,900円",358口,"25,300円",213口,"50,600円",438口,"12,600円",467口,"7,500円"
第4677回,2017/06/05,873,81口,"98,600円",545口,"16,400円",170口,"57,500円","1,173口","8,200円",385口,"9,800円"
第4678回,2017/06/06,289,74口,"81,500円",507口,"13,500円",189口,"47,500円","1,021口","6,700円",448口,"8,100円"
第4679回,2017/06/07,870,56口,"115,100円",372口,"19,100円",126口,"67,100円",717口,"9,500円",284口,"11,500円"
第4680回,2017/06/08,037,74口,"97,500円",366口,"16,200円",139口,"56,800円",847口,"8,100円",460口,"9,700円"
第4681回,2017/06/09,908,135口,"48,800円",815口,"8,100円",480口,"28,400円","1,382口","4,000円",542口,"4,800円"
第4682回,2017/06/12,172,52口,"67,700円","1,060口","11,200円",222口,"39,400円","2,198口","5,600円",451口,"6,700円"
第4683回,2017/06/13,577,53口,"118,100円",199口,"39,300円",85口,"78,700円",238口,"19,600円",570口,"11,800円"
第4684回,2017/06/14,428,106口,"79,400円",344口,"13,200円",260口,"46,300円",671口,"6,600円",366口,"7,900円"
第4685回,2017/06/15,501,76口,"98,100円",450口,"16,300円",180口,"57,200円",880口,"8,100円",393口,"9,800円"
第4686回,2017/06/16,540,58口,"103,700円",568口,"17,200円",136口,"60,400円","1,071口","8,600円",382口,"10,300円"
第4687回,2017/06/19,874,119口,"91,700円",593口,"15,200円",185口,"53,400円","1,051口","7,600円",519口,"9,100円"
第4688回,2017/06/20,671,45口,"115,700円",437口,"19,200円",117口,"67,400円",969口,"9,600円",330口,"11,500円"
第4689回,2017/06/21,311,73口,"85,400円",227口,"28,400円",175口,"56,900円",342口,"14,200円",627口,"8,500円"
第4690回,2017/06/22,375,81口,"79,100円",555口,"13,100円",226口,"46,100円","1,007口","6,500円",496口,"7,900円"
第4691回,2017/06/23,811,83口,"99,400円",228口,"33,100円",169口,"66,200円",333口,"16,500円",496口,"9,900円"
第4692回,2017/06/26,242,55口,"125,900円",297口,"41,900円",104口,"83,900円",407口,"20,900円",453口,"12,500円"
第4693回,2017/06/27,171,79口,"71,800円",378口,"23,900円",199口,"47,800円",575口,"11,900円",468口,"7,100円"
第4694回,2017/06/28,796,88口,"97,300円",346口,"16,200円",157口,"56,700円",732口,"8,100円",590口,"9,700円"
第4695回,2017/06/29,208,60口,"104,200円",411口,"17,300円",177口,"60,700円",786口,"8,600円",322口,"10,400円"
第4696回,2017/06/30,161,73口,"98,800円",280口,"32,900円",133口,"65,800円",472口,"16,400円",403口,"9,800円"
