2017/05/02,939,39口,"168,200円",149口,"56,000円",76口,"112,100円",184口,"28,000円",435口,"16,800円"
2017/05/03,479,61口,"93,700円",418口,"15,600円",198口,"54,600円",834口,"7,800円",361口,"9,300円"
2017/05/04,904,67口,"98,900円",356口,"16,400円",177口,"57,600円",812口,"8,200円",343口,"9,800円"
2017/05/05,433,58口,"111,600円",253口,"37,200円",104口,"74,400円",277口,"18,600円",467口,"11,100円"
2017/05/08,459,80口,"89,000円",597口,"14,800円",247口,"51,900円","1,160口","7,400円",484口,"8,900円"
2017/05/09,768,53口,"91,100円",487口,"15,100円",188口,"53,100円",901口,"7,500円",497口,"9,100円"
2017/05/10,161,74口,"99,300円",248口,"33,100円",123口,"66,200円",407口,"16,500円",391口,"9,900円"
2017/05/11,895,62口,"103,000円",403口,"17,100円",163口,"60,000円",797口,"8,500円",411口,"10,300円"
2017/05/12,922,61口,"101,100円",209口,"33,700円",185口,"67,400円",276口,"16,800円",541口,"10,100円"
2017/05/15,682,77口,"100,100円",631口,"16,600円",151口,"58,300円","1,196口","8,300円",467口,"10,000円"
2017/05/16,017,88口,"85,800円",406口,"14,300円",163口,"50,000円",825口,"7,100円",745口,"8,500円"
2017/05/17,597,46口,"109,200円",435口,"18,200円",140口,"63,700円",802口,"9,100円",409口,"10,900円"
2017/05/18,423,99口,"69,200円",506口,"11,500円",306口,"40,300円",895口,"5,700円",477口,"6,900円"
2017/05/19,909,74口,"110,800円",228口,"36,900円",138口,"73,800円",243口,"18,400円",427口,"11,000円"
2017/05/22,052,50口,"126,700円",472口,"21,100円",113口,"73,900円",970口,"10,500円",405口,"12,600円"
2017/05/23,509,73口,"76,900円",525口,"12,800円",271口,"44,800円",939口,"6,400円",233口,"7,600円"
2017/05/24,307,57口,"106,600円",328口,"17,700円",166口,"62,100円",775口,"8,800円",316口,"10,600円"
2017/05/25,039,77口,"90,600円",433口,"15,100円",154口,"52,800円",858口,"7,500円",667口,"9,000円"
2017/05/26,041,59口,"105,000円",469口,"17,500円",116口,"61,200円",998口,"8,700円",583口,"10,500円"
2017/05/29,990,89口,"99,400円",303口,"33,100円",139口,"66,200円",359口,"16,500円",717口,"9,900円"
2017/05/30,537,65口,"86,300円",498口,"14,300円",176口,"50,300円",936口,"7,100円",489口,"8,600円"
2017/05/31,471,62口,"81,100円",595口,"13,500円",199口,"47,300円","1,280口","6,700円",298口,"8,100円"
