第1902回,2006/09/01,899,79口,"116,100円",241口,"38,700円",171口,"77,400円",332口,"19,300円",808口,"11,600円","105,686,200円"
第1903回,2006/09/04,349,134口,"97,500円",897口,"16,200円",292口,"56,800円","1,632口","8,100円",590口,"9,700円","140,674,600円"
第1904回,2006/09/05,874,165口,"81,900円",618口,"13,600円",237口,"47,700円","1,180口","6,800円",602口,"8,100円","102,823,400円"
第1905回,2006/09/06,104,162口,"92,400円",521口,"15,400円",255口,"53,900円",903口,"7,700円",363口,"9,200円","104,580,000円"
第1906回,2006/09/07,522,139口,"98,500円",286口,"32,800円",182口,"65,600円",438口,"16,400円",510口,"9,800円","105,035,400円"
第1907回,2006/09/08,815,151口,"80,700円",643口,"13,400円",347口,"47,000円","1,134口","6,700円",446口,"8,000円","107,640,800円"
第1908回,2006/09/11,892,126口,"95,600円",946口,"15,900円",262口,"55,700円","1,713口","7,900円",606口,"9,500円","135,946,200円"
第1909回,2006/09/12,859,66口,"133,900円",403口,"22,300円",144口,"78,100円",859口,"11,100円",403口,"13,300円","97,974,200円"
第1910回,2006/09/13,468,161口,"72,600円",597口,"12,100円",316口,"42,300円","1,100口","6,000円",733口,"7,200円","98,393,600円"
第1911回,2006/09/14,062,69口,"129,500円",513口,"21,500円",130口,"75,500円","1,110口","10,700円",327口,"12,900円","102,322,600円"
第1912回,2006/09/15,019,82口,"109,800円",731口,"18,300円",154口,"64,000円","1,309口","9,100円",480口,"10,900円","110,049,600円"
第1913回,2006/09/18,121,191口,"81,600円",432口,"27,200円",254口,"54,400円",531口,"13,600円",521口,"8,100円","117,063,600円"
第1914回,2006/09/19,955,95口,"117,100円",211口,"39,000円",149口,"78,000円",261口,"19,500円",657口,"11,700円","97,289,600円"
第1915回,2006/09/20,918,273口,"47,700円",936口,"7,900円",550口,"27,800円","1,715口","3,900円",503口,"4,700円","100,075,800円"
第1916回,2006/09/21,586,115口,"100,900円",616口,"16,800円",186口,"58,800円","1,052口","8,400円",413口,"10,000円","102,139,400円"
第1917回,2006/09/22,875,167口,"83,200円",577口,"13,800円",252口,"48,500円","1,084口","6,900円",822口,"8,300円","107,805,400円"
第1918回,2006/09/25,402,136口,"113,900円",734口,"18,900円",243口,"66,400円","1,114口","9,400円",434口,"11,300円","135,853,600円"
第1919回,2006/09/26,161,96口,"139,200円",192口,"46,400円",91口,"92,800円",370口,"23,200円",303口,"13,900円","96,772,000円"
第1920回,2006/09/27,898,141口,"93,000円",277口,"31,000円",198口,"62,000円",423口,"15,500円",494口,"9,300円","100,288,600円"
第1921回,2006/09/28,890,167口,"66,100円",817口,"11,000円",374口,"38,500円","1,584口","5,500円",610口,"6,600円","105,083,800円"
第1922回,2006/09/29,448,106口,"112,400円",271口,"37,400円",218口,"74,900円",282口,"18,700円",577口,"11,200円","111,513,000円"
