第3944回,2014/08/04,764,93口,"108,400円",479口,"18,000円",154口,"63,200円",891口,"9,000円",510口,"10,800円","93,510,000円"
第3945回,2014/08/05,955,39口,"145,500円",164口,"48,500円",74口,"97,000円",209口,"24,200円",548口,"14,500円","75,248,400円"
第3946回,2014/08/06,933,48口,"108,100円",274口,"36,000円",112口,"72,000円",367口,"18,000円",531口,"10,800円","78,887,800円"
第3947回,2014/08/07,857,114口,"87,900円",412口,"14,600円",165口,"51,200円",915口,"7,300円",394口,"8,700円","77,083,200円"
第3948回,2014/08/08,031,53口,"121,200円",428口,"20,200円",105口,"70,700円",918口,"10,100円",371口,"12,100円","80,583,200円"
第3949回,2014/08/11,793,79口,"89,900円",643口,"14,900円",208口,"52,400円","1,030口","7,400円",656口,"8,900円","91,743,800円"
第3950回,2014/08/12,448,88口,"85,200円",291口,"28,400円",179口,"56,800円",251口,"14,200円",529口,"8,500円","75,568,400円"
第3951回,2014/08/13,528,101口,"62,600円",650口,"10,400円",325口,"36,500円","1,193口","5,200円",422口,"6,200円","75,276,000円"
第3952回,2014/08/14,371,70口,"83,500円",523口,"13,900円",186口,"48,700円","1,139口","6,900円",285口,"8,300円","72,206,800円"
第3953回,2014/08/15,122,90口,"94,300円",240口,"31,400円",169口,"62,800円",368口,"15,700円",545口,"9,400円","83,533,200円"
第3954回,2014/08/18,425,128口,"76,400円",612口,"12,700円",350口,"44,500円","1,093口","6,300円",635口,"7,600円","100,074,800円"
第3955回,2014/08/19,701,54口,"94,700円",462口,"15,700円",203口,"55,200円",901口,"7,800円",420口,"9,400円","77,143,000円"
第3956回,2014/08/20,852,77口,"94,100円",536口,"15,600円",124口,"54,800円","1,097口","7,800円",453口,"9,400円","78,519,800円"
第3957回,2014/08/21,059,63口,"118,900円",375口,"19,800円",144口,"69,300円",744口,"9,900円",283口,"11,800円","79,219,600円"
第3958回,2014/08/22,685,69口,"109,800円",417口,"18,300円",148口,"64,000円",815口,"9,100円",398口,"10,900円","81,180,800円"
第3959回,2014/08/25,105,119口,"89,000円",590口,"14,800円",260口,"51,900円","1,047口","7,400円",446口,"8,900円","99,084,600円"
第3960回,2014/08/26,958,101口,"82,100円",441口,"13,600円",201口,"47,800円",930口,"6,800円",545口,"8,200円","77,395,200円"
第3961回,2014/08/27,314,122口,"71,700円",459口,"11,900円",302口,"41,800円",787口,"5,900円",696口,"7,100円","81,335,600円"
第3962回,2014/08/28,376,64口,"98,900円",438口,"16,400円",202口,"57,600円",888口,"8,200円",421口,"9,800円","81,571,400円"
第3963回,2014/08/29,653,78口,"112,600円",401口,"18,700円",132口,"65,600円",826口,"9,300円",499口,"11,200円","85,223,400円"
