第4417回,2016/06/02,256,123口,"85,600円",398口,"14,200円",174口,"49,900円",838口,"7,100円",409口,"8,500円"
第4418回,2016/06/03,093,54口,"120,400円",389口,"20,000円",127口,"70,200円",839口,"10,000円",399口,"12,000円"
第4419回,2016/06/06,617,129口,"81,200円",486口,"13,500円",282口,"47,300円",807口,"6,700円",749口,"8,100円"
第4420回,2016/06/07,034,38口,"132,100円",278口,"22,000円",109口,"77,000円",585口,"11,000円",467口,"13,200円"
第4421回,2016/06/08,262,81口,"98,200円",242口,"32,700円",129口,"65,400円",349口,"16,300円",394口,"9,800円"
第4422回,2016/06/09,355,59口,"108,900円",219口,"36,300円",103口,"72,600円",255口,"18,100円",571口,"10,800円"
第4423回,2016/06/10,809,110口,"61,100円",500口,"10,100円",380口,"35,600円","1,178口","5,000円",638口,"6,100円"
第4424回,2016/06/13,244,67口,"112,300円",245口,"37,400円",129口,"74,800円",284口,"18,700円",675口,"11,200円"
第4425回,2016/06/14,543,61口,"94,600円",489口,"15,700円",137口,"55,100円","1,042口","7,800円",344口,"9,400円"
第4426回,2016/06/15,742,80口,"80,800円",636口,"13,400円",173口,"47,100円","1,394口","6,700円",590口,"8,000円"
第4427回,2016/06/16,370,57口,"107,600円",431口,"17,900円",149口,"62,700円",986口,"8,900円",340口,"10,700円"
第4428回,2016/06/17,063,84口,"95,900円",510口,"15,900円",138口,"55,900円","1,102口","7,900円",614口,"9,500円"
第4429回,2016/06/20,724,120口,"75,800円",709口,"12,600円",291口,"44,200円","1,264口","6,300円",617口,"7,500円"
第4430回,2016/06/21,615,119口,"72,100円",472口,"12,000円",278口,"42,000円",818口,"6,000円",508口,"7,200円"
第4431回,2016/06/22,125,107口,"74,800円",471口,"12,400円",285口,"43,600円",914口,"6,200円",434口,"7,400円"
第4432回,2016/06/23,693,55口,"84,400円",595口,"14,000円",193口,"49,200円","1,408口","7,000円",304口,"8,400円"
第4433回,2016/06/24,088,69口,"86,600円",335口,"28,800円",154口,"57,700円",441口,"14,400円",734口,"8,600円"
第4434回,2016/06/27,440,151口,"74,500円",396口,"24,800円",280口,"49,600円",444口,"12,400円",427口,"7,400円"
第4435回,2016/06/28,546,59口,"87,000円",532口,"14,500円",207口,"50,700円",978口,"7,200円",425口,"8,700円"
第4436回,2016/06/29,748,97口,"78,500円",462口,"13,000円",271口,"45,700円",915口,"6,500円",535口,"7,800円"
第4437回,2016/06/30,602,65口,"113,500円",360口,"18,900円",163口,"66,200円",739口,"9,400円",395口,"11,300円"
