第1301回,2004/04/02,820,265口,"83,200円",777口,"13,800円",443口,"48,500円","1,570口","6,900円",595口,"8,300円","156,066,400円"
第1302回,2004/04/05,189,232口,"75,200円","1,081口","12,500円",452口,"43,800円","2,191口","6,200円","1,303口","7,500円","165,314,800円"
第1303回,2004/04/07,330,379口,"59,400円",591口,"19,800円",559口,"39,600円",744口,"9,900円",619口,"5,900円","149,902,800円"
第1304回,2004/04/09,308,236口,"77,200円",905口,"12,800円",503口,"45,000円","1,762口","6,400円",707口,"7,700円","154,039,600円"
第1305回,2004/04/12,936,184口,"87,400円","1,107口","14,500円",359口,"50,900円","2,306口","7,200円",684口,"8,700円","162,913,200円"
第1306回,2004/04/14,563,158口,"103,300円",744口,"17,200円",263口,"60,200円","1,464口","8,600円",639口,"10,300円","142,633,000円"
第1307回,2004/04/16,900,184口,"107,600円",378口,"35,800円",262口,"71,700円",742口,"17,900円",664口,"10,700円","161,478,200円"
第1308回,2004/04/19,733,184口,"101,600円",451口,"33,800円",242口,"67,700円",809口,"16,900円",777口,"10,100円","159,946,400円"
第1309回,2004/04/21,374,174口,"90,800円",933口,"15,100円",372口,"52,900円","1,759口","7,500円",533口,"9,000円","150,608,600円"
第1310回,2004/04/23,842,142口,"88,400円","1,099口","14,700円",290口,"51,500円","2,260口","7,300円","1,196口","8,800円","157,663,000円"
第1311回,2004/04/26,922,209口,"95,300円",421口,"31,700円",347口,"63,500円",674口,"15,800円",956口,"9,500円","167,094,600円"
第1312回,2004/04/28,764,128口,"120,600円",669口,"20,100円",248口,"70,300円","1,471口","10,000円",538口,"12,000円","150,243,200円"
第1313回,2004/04/30,671,145口,"119,000円",687口,"19,800円",253口,"69,400円","1,568口","9,900円",671口,"11,900円","160,007,600円"
