2019/11/04,465,66口,"111,400円",622口,"18,500円",204口,"64,900円",962口,"9,200円",397口,"11,100円"
2019/11/05,601,81口,"105,600円",425口,"17,600円",190口,"61,600円",925口,"8,800円",472口,"10,500円"
2019/11/06,219,86口,"68,400円",763口,"11,400円",351口,"39,900円","1,416口","5,700円",598口,"6,800円"
2019/11/07,612,128口,"67,900円",723口,"11,300円",299口,"39,600円","1,625口","5,600円",394口,"6,700円"
2019/11/08,153,78口,"71,100円",938口,"11,800円",261口,"41,400円","1,984口","5,900円",518口,"7,100円"
2019/11/11,544,126口,"80,600円",478口,"26,800円",232口,"53,700円",402口,"13,400円","1,196口","8,000円"
2019/11/12,961,50口,"98,500円",581口,"16,400円",165口,"57,400円","1,287口","8,200円",358口,"9,800円"
2019/11/13,828,175口,"76,800円",202口,"25,600円",249口,"51,200円",260口,"12,800円",541口,"7,600円"
2019/11/14,831,89口,"66,700円",712口,"11,100円",292口,"38,900円","1,572口","5,500円",473口,"6,600円"
2019/11/15,818,122口,"80,200円",280口,"26,700円",268口,"53,400円",294口,"13,300円",600口,"8,000円"
2019/11/18,275,94口,"79,800円",858口,"13,300円",277口,"46,500円","1,549口","6,600円",511口,"7,900円"
2019/11/19,695,36口,"126,700円",420口,"21,100円",133口,"73,900円",841口,"10,500円",337口,"12,600円"
2019/11/20,363,62口,"100,800円",295口,"33,600円",173口,"67,200円",304口,"16,800円",501口,"10,000円"
2019/11/21,204,66口,"105,200円",452口,"17,500円",163口,"61,300円",938口,"8,700円",422口,"10,500円"
2019/11/22,094,81口,"113,400円",356口,"18,900円",133口,"66,100円",897口,"9,400円",423口,"11,300円"
2019/11/25,962,90口,"91,800円",747口,"15,300円",224口,"53,500円","1,398口","7,600円",462口,"9,100円"
2019/11/26,118,125口,"68,500円",295口,"22,800円",317口,"45,600円",366口,"11,400円",429口,"6,800円"
2019/11/27,565,50口,"137,500円",191口,"45,800円",126口,"91,600円",252口,"22,900円",354口,"13,700円"
2019/11/28,491,69口,"104,100円",463口,"17,300円",140口,"60,700円","1,044口","8,600円",348口,"10,400円"
2019/11/29,339,90口,"85,800円",330口,"28,600円",221口,"57,200円",299口,"14,300円",730口,"8,500円"
