第4547回,2016/12/01,939,130口,"84,600円",230口,"28,200円",163口,"56,400円",239口,"14,100円",587口,"8,400円"
第4548回,2016/12/02,336,130口,"70,400円",349口,"23,400円",257口,"46,900円",291口,"11,700円",501口,"7,000円"
第4549回,2016/12/05,043,63口,"131,400円",491口,"21,900円",95口,"76,600円",850口,"10,900円",587口,"13,100円"
第4550回,2016/12/06,699,82口,"107,600円",189口,"35,800円",131口,"71,700円",223口,"17,900円",418口,"10,700円"
第4551回,2016/12/07,367,100口,"89,000円",453口,"14,800円",197口,"51,900円",725口,"7,400円",479口,"8,900円"
第4552回,2016/12/08,087,47口,"117,200円",377口,"19,500円",136口,"68,300円",772口,"9,700円",462口,"11,700円"
第4553回,2016/12/09,721,287口,"37,600円","1,009口","6,200円",566口,"21,900円","1,978口","3,100円",452口,"3,700円"
第4554回,2016/12/12,687,98口,"89,000円",580口,"14,800円",286口,"51,900円",968口,"7,400円",400口,"8,900円"
第4555回,2016/12/13,231,58口,"95,200円",589口,"15,800円",103口,"55,500円","1,210口","7,900円",340口,"9,500円"
第4556回,2016/12/14,915,103口,"90,800円",420口,"15,100円",190口,"52,900円",824口,"7,500円",363口,"9,000円"
第4557回,2016/12/15,679,70口,"103,400円",405口,"17,200円",194口,"60,300円",805口,"8,600円",543口,"10,300円"
第4558回,2016/12/16,073,59口,"113,800円",473口,"18,900円",117口,"66,300円","1,161口","9,400円",461口,"11,300円"
第4559回,2016/12/19,137,111口,"74,800円",887口,"12,400円",302口,"43,600円","1,609口","6,200円",790口,"7,400円"
第4560回,2016/12/20,513,109口,"71,900円",627口,"11,900円",283口,"41,900円","1,198口","5,900円",436口,"7,100円"
第4561回,2016/12/21,651,83口,"81,500円",582口,"13,500円",222口,"47,500円","1,068口","6,700円",869口,"8,100円"
第4562回,2016/12/22,291,41口,"103,000円",520口,"17,100円",190口,"60,000円","1,224口","8,500円",360口,"10,300円"
第4563回,2016/12/23,153,65口,"100,300円",574口,"16,700円",127口,"58,500円","1,208口","8,300円",364口,"10,000円"
第4564回,2016/12/26,934,83口,"100,200円",572口,"16,700円",238口,"58,400円","1,156口","8,300円",694口,"10,000円"
第4565回,2016/12/27,837,50口,"122,500円",381口,"20,400円",120口,"71,400円",935口,"10,200円",497口,"12,200円"
第4566回,2016/12/28,007,77口,"95,000円",377口,"31,600円",187口,"63,300円",337口,"15,800円",531口,"9,500円"
第4567回,2016/12/29,415,125口,"82,900円",460口,"13,800円",275口,"48,300円",877口,"6,900円",424口,"8,200円"
第4568回,2016/12/30,767,46口,"134,200円",237口,"44,700円",117口,"89,400円",308口,"22,300円",542口,"13,400円"
