第4609回,2017/03/01,157,75口,"85,500円",572口,"14,200円",243口,"49,800円","1,234口","7,100円",479口,"8,500円"
第4610回,2017/03/02,449,56口,"133,100円",168口,"44,300円",142口,"88,700円",217口,"22,100円",350口,"13,300円"
第4611回,2017/03/03,111,613口,"58,200円",該当なし,該当なし,該当なし,該当なし,該当なし,該当なし,775口,"5,800円"
第4612回,2017/03/06,226,150口,"74,800円",400口,"24,900円",280口,"49,800円",370口,"12,400円",623口,"7,400円"
第4613回,2017/03/07,868,61口,"112,600円",198口,"37,500円",135口,"75,000円",280口,"18,700円",525口,"11,200円"
第4614回,2017/03/08,959,53口,"130,900円",220口,"43,600円",111口,"87,200円",253口,"21,800円",412口,"13,000円"
第4615回,2017/03/09,960,65口,"114,600円",420口,"19,100円",137口,"66,800円",787口,"9,500円",400口,"11,400円"
第4616回,2017/03/10,689,86口,"82,900円",542口,"13,800円",262口,"48,300円","1,043口","6,900円",507口,"8,200円"
第4617回,2017/03/13,785,77口,"104,900円",655口,"17,400円",150口,"61,100円","1,284口","8,700円",419口,"10,400円"
第4618回,2017/03/14,101,70口,"106,000円",208口,"35,300円",161口,"70,600円",240口,"17,600円",435口,"10,600円"
第4619回,2017/03/15,789,97口,"77,500円",538口,"12,900円",286口,"45,200円",902口,"6,400円",368口,"7,700円"
第4620回,2017/03/16,101,88口,"98,700円",243口,"32,900円",165口,"65,800円",306口,"16,400円",353口,"9,800円"
第4621回,2017/03/17,692,65口,"105,200円",443口,"17,500円",143口,"61,300円",972口,"8,700円",577口,"10,500円"
第4622回,2017/03/20,164,92口,"97,400円",495口,"16,200円",195口,"56,800円",897口,"8,100円",434口,"9,700円"
第4623回,2017/03/21,064,25口,"161,100円",281口,"26,800円",86口,"93,900円",623口,"13,400円",282口,"16,100円"
第4624回,2017/03/22,712,82口,"63,300円",795口,"10,500円",266口,"36,900円","1,840口","5,200円",427口,"6,300円"
第4625回,2017/03/23,405,65口,"95,000円",439口,"15,800円",216口,"55,400円",709口,"7,900円",394口,"9,500円"
第4626回,2017/03/24,719,78口,"95,700円",401口,"15,900円",237口,"55,800円",764口,"7,900円",415口,"9,500円"
第4627回,2017/03/27,546,64口,"102,400円",637口,"17,000円",175口,"59,700円","1,017口","8,500円",556口,"10,200円"
第4628回,2017/03/28,619,108口,"66,200円",516口,"11,000円",353口,"38,600円","1,130口","5,500円",365口,"6,600円"
第4629回,2017/03/29,053,34口,"117,900円",408口,"19,600円",127口,"68,700円",947口,"9,800円",540口,"11,700円"
第4630回,2017/03/30,638,142口,"56,700円",525口,"9,400円",275口,"33,000円","1,000口","4,700円","1,649口","5,600円"
第4631回,2017/03/31,226,75口,"97,100円",240口,"32,300円",196口,"64,700円",261口,"16,100円",403口,"9,700円"
