2011/05/03,192,58口,"107,800円",437口,"17,900円",152口,"62,800円",855口,"8,900円",262口,"10,700円","75,951,800円"
2011/05/04,807,72口,"114,300円",367口,"19,000円",145口,"66,600円",737口,"9,500円",333口,"11,400円","79,420,800円"
2011/05/05,586,75口,"106,300円",447口,"17,700円",158口,"62,000円",775口,"8,800円",354口,"10,600円","80,709,800円"
2011/05/06,500,114口,"90,900円",273口,"30,300円",182口,"60,600円",386口,"15,100円",575口,"9,000円","90,562,000円"
2011/05/09,869,100口,"104,500円",512口,"17,400円",224口,"60,900円",898口,"8,700円",650口,"10,400円","105,915,200円"
2011/05/10,447,92口,"102,400円",212口,"34,100円",150口,"68,200円",291口,"17,000円",452口,"10,200円","81,158,400円"
2011/05/11,671,46口,"114,500円",350口,"19,000円",121口,"66,700円",864口,"9,500円",631口,"11,400円","78,882,200円"
2011/05/12,514,175口,"63,400円",547口,"10,500円",322口,"36,900円",881口,"5,200円",657口,"6,300円","83,638,800円"
2011/05/13,574,42口,"116,200円",497口,"19,300円",160口,"67,700円","1,161口","9,600円",406口,"11,600円","91,813,400円"
2011/05/16,705,137口,"96,200円",491口,"16,000円",241口,"56,100円",949口,"8,000円",608口,"9,600円","106,798,600円"
2011/05/17,310,99口,"90,600円",402口,"15,100円",228口,"52,800円",809口,"7,500円",356口,"9,000円","81,023,800円"
2011/05/18,074,65口,"119,200円",409口,"19,800円",129口,"69,500円",890口,"9,900円",321口,"11,900円","83,421,000円"
2011/05/19,674,67口,"115,000円",442口,"19,100円",147口,"67,000円",849口,"9,500円",329口,"11,500円","84,357,600円"
2011/05/20,966,51口,"124,600円",257口,"41,500円",134口,"83,000円",323口,"20,700円",475口,"12,400円","90,701,200円"
2011/05/23,995,113口,"113,900円",237口,"37,900円",174口,"75,900円",231口,"18,900円",474口,"11,300円","99,783,600円"
2011/05/24,362,70口,"96,100円",541口,"16,000円",154口,"56,000円","1,155口","8,000円",320口,"9,600円","80,839,600円"
2011/05/25,655,43口,"114,500円",297口,"38,100円",147口,"76,300円",315口,"19,000円",501口,"11,400円","87,236,000円"
2011/05/26,199,43口,"139,000円",210口,"46,300円",100口,"92,600円",311口,"23,100円",497口,"13,900円","86,913,800円"
2011/05/27,359,92口,"88,800円",512口,"14,800円",258口,"51,800円","1,054口","7,400円",514口,"8,800円","92,211,000円"
2011/05/30,091,66口,"119,600円",609口,"19,900円",164口,"69,700円","1,150口","9,900円",335口,"11,900円","104,400,400円"
2011/05/31,253,111口,"81,100円",599口,"13,500円",208口,"47,300円","1,122口","6,700円",499口,"8,100円","85,811,400円"
