2015/08/04,907,59口,"119,900円",314口,"19,900円",136口,"69,900円",580口,"9,900円",333口,"11,900円","72,594,000円"
2015/08/05,275,85口,"71,400円",635口,"11,900円",215口,"41,600円","1,366口","5,900円",475口,"7,100円","75,822,200円"
2015/08/06,426,80口,"76,000円",504口,"12,600円",252口,"44,300円",976口,"6,300円",418口,"7,600円","73,334,000円"
2015/08/07,802,84口,"84,900円",414口,"14,100円",247口,"49,500円",850口,"7,000円",384口,"8,400円","76,672,400円"
2015/08/10,567,90口,"105,500円",445口,"17,500円",206口,"61,500円",709口,"8,700円",392口,"10,500円","89,721,800円"
2015/08/11,419,78口,"86,500円",355口,"14,400円",218口,"50,400円",798口,"7,200円",463口,"8,600円","72,560,800円"
2015/08/12,119,147口,"64,700円",319口,"21,500円",273口,"43,100円",294口,"10,700円",290口,"6,400円","73,891,400円"
2015/08/13,809,79口,"56,100円",648口,"9,300円",363口,"32,700円","1,477口","4,600円",412口,"5,600円","70,201,400円"
2015/08/14,859,55口,"82,700円",622口,"13,700円",213口,"48,200円","1,421口","6,800円",397口,"8,200円","81,144,400円"
2015/08/17,507,95口,"104,100円",451口,"17,300円",216口,"60,700円",818口,"8,600円",398口,"10,400円","93,554,400円"
2015/08/18,978,54口,"86,100円",594口,"14,300円",177口,"50,200円","1,134口","7,100円",571口,"8,600円","78,109,000円"
2015/08/19,580,72口,"91,600円",546口,"15,200円",162口,"53,400円",944口,"7,600円",476口,"9,100円","78,146,400円"
2015/08/20,214,82口,"82,000円",489口,"13,600円",220口,"47,800円",953口,"6,800円",583口,"8,200円","78,339,200円"
2015/08/21,372,82口,"82,100円",545口,"13,600円",207口,"47,800円","1,321口","6,800円",451口,"8,200円","81,950,400円"
2015/08/24,315,216口,"52,500円",815口,"8,700円",414口,"30,600円","1,269口","4,300円","1,153口","5,200円","95,148,400円"
2015/08/25,282,63口,"99,600円",265口,"33,200円",110口,"66,400円",450口,"16,600円",373口,"9,900円","74,637,800円"
2015/08/26,920,106口,"86,000円",418口,"14,300円",224口,"50,100円",844口,"7,100円",350口,"8,600円","78,738,400円"
2015/08/27,778,61口,"113,200円",217口,"37,700円",161口,"75,400円",232口,"18,800円",354口,"11,300円","79,186,000円"
2015/08/28,169,62口,"84,600円",501口,"14,100円",197口,"49,300円","1,085口","7,000円",860口,"8,400円","82,204,000円"
2015/08/31,763,79口,"113,700円",534口,"18,900円",142口,"66,300円","1,004口","9,400円",486口,"11,300円","96,831,800円"
