2015/10/02,468,88口,"81,700円",454口,"13,600円",286口,"47,600円",861口,"6,800円",413口,"8,100円","80,551,200円"
2015/10/05,173,67口,"97,000円",701口,"16,100円",190口,"56,500円","1,316口","8,000円",437口,"9,700円","96,596,800円"
2015/10/06,524,110口,"80,000円",451口,"13,300円",216口,"46,600円",828口,"6,600円",438口,"8,000円","75,405,800円"
2015/10/07,425,98口,"87,500円",381口,"14,500円",229口,"51,000円",631口,"7,200円",505口,"8,700円","77,501,400円"
2015/10/08,321,98口,"84,900円",466口,"14,100円",187口,"49,500円","1,031口","7,000円",328口,"8,400円","76,173,800円"
2015/10/09,658,50口,"99,700円",500口,"16,600円",182口,"58,100円","1,000口","8,300円",433口,"9,900円","81,181,400円"
2015/10/12,185,67口,"88,900円",635口,"14,800円",195口,"51,800円","1,270口","7,400円",449口,"8,800円","86,395,400円"
2015/10/13,418,96口,"72,000円",431口,"12,000円",248口,"42,000円",903口,"6,000円",487口,"7,200円","69,863,400円"
2015/10/14,119,111口,"73,600円",268口,"24,500円",250口,"49,000円",293口,"12,200円",458口,"7,300円","75,533,600円"
2015/10/15,288,58口,"112,700円",238口,"37,500円",121口,"75,100円",355口,"18,700円",571口,"11,200円","83,729,000円"
2015/10/16,503,112口,"81,400円",397口,"13,500円",296口,"47,400円",959口,"6,700円",314口,"8,100円","83,686,800円"
2015/10/19,363,83口,"114,700円",288口,"38,200円",149口,"76,400円",352口,"19,100円",438口,"11,400円","97,125,600円"
2015/10/20,504,57口,"115,200円",327口,"19,200円",159口,"67,200円",717口,"9,600円",370口,"11,500円","77,083,200円"
2015/10/21,458,78口,"86,300円",518口,"14,300円",233口,"50,300円","1,010口","7,100円",385口,"8,600円","81,159,000円"
2015/10/22,396,69口,"71,400円",659口,"11,900円",250口,"41,600円","1,623口","5,900円",432口,"7,100円","79,844,000円"
2015/10/23,686,60口,"120,400円",217口,"40,100円",141口,"80,200円",263口,"20,000円",477口,"12,000円","85,108,400円"
2015/10/26,370,96口,"100,000円",624口,"16,600円",140口,"58,300円","1,365口","8,300円",542口,"10,000円","99,998,400円"
2015/10/27,906,48口,"116,300円",360口,"19,300円",161口,"67,800円",751口,"9,600円",408口,"11,600円","78,929,200円"
2015/10/28,049,45口,"132,700円",328口,"22,100円",124口,"77,400円",834口,"11,000円",383口,"13,200円","82,529,200円"
2015/10/29,118,162口,"62,000円",345口,"20,600円",318口,"41,300円",380口,"10,300円",421口,"6,200円","81,927,600円"
2015/10/30,394,65口,"113,300円",421口,"18,800円",152口,"66,000円",896口,"9,400円",415口,"11,300円","85,611,000円"
