第4483回,2016/09/02,284,54口,"101,500円",521口,"16,900円",153口,"59,200円","1,057口","8,400円",425口,"10,100円"
第4484回,2016/09/05,337,197口,"76,800円",322口,"25,600円",215口,"51,200円",325口,"12,800円",488口,"7,600円"
第4485回,2016/09/06,509,71口,"82,700円",417口,"13,700円",222口,"48,200円",925口,"6,800円",546口,"8,200円"
第4486回,2016/09/07,701,71口,"92,000円",462口,"15,300円",182口,"53,600円",908口,"7,600円",406口,"9,200円"
第4487回,2016/09/08,346,49口,"101,500円",377口,"16,900円",162口,"59,200円",885口,"8,400円",442口,"10,100円"
第4488回,2016/09/09,879,66口,"88,400円",516口,"14,700円",190口,"51,500円",928口,"7,300円",648口,"8,800円"
第4489回,2016/09/12,450,71口,"113,100円",469口,"18,800円",178口,"65,900円",829口,"9,400円",398口,"11,300円"
第4490回,2016/09/13,437,41口,"104,400円",435口,"17,400円",146口,"60,900円",956口,"8,700円",287口,"10,400円"
第4491回,2016/09/14,927,89口,"76,000円",469口,"12,600円",262口,"44,300円",973口,"6,300円",486口,"7,600円"
第4492回,2016/09/15,053,56口,"101,200円",386口,"16,800円",121口,"59,000円",941口,"8,400円",685口,"10,100円"
第4493回,2016/09/16,804,54口,"110,600円",409口,"18,400円",176口,"64,500円",688口,"9,200円",402口,"11,000円"
第4494回,2016/09/19,470,65口,"104,500円",504口,"17,400円",156口,"60,900円",981口,"8,700円",355口,"10,400円"
第4495回,2016/09/20,401,76口,"86,600円",353口,"14,400円",173口,"50,500円",845口,"7,200円",354口,"8,600円"
第4496回,2016/09/21,211,74口,"90,600円",264口,"30,200円",144口,"60,400円",400口,"15,100円",598口,"9,000円"
第4497回,2016/09/22,373,73口,"101,800円",197口,"33,900円",148口,"67,800円",245口,"16,900円",241口,"10,100円"
第4498回,2016/09/23,947,55口,"117,000円",380口,"19,500円",133口,"68,200円",760口,"9,700円",487口,"11,700円"
第4499回,2016/09/26,545,68口,"126,700円",251口,"42,200円",127口,"84,400円",228口,"21,100円",539口,"12,600円"
第4500回,2016/09/27,237,70口,"82,400円",516口,"13,700円",195口,"48,000円","1,155口","6,800円",399口,"8,200円"
第4501回,2016/09/28,139,73口,"90,300円",492口,"15,000円",158口,"52,600円","1,004口","7,500円",500口,"9,000円"
第4502回,2016/09/29,161,63口,"96,300円",267口,"32,100円",146口,"64,200円",394口,"16,000円",381口,"9,600円"
第4503回,2016/09/30,719,84口,"79,300円",509口,"13,200円",282口,"46,200円",885口,"6,600円",545口,"7,900円"
