2002/12/04,188,192口,"97,800円",401口,"32,600円",293口,"65,200円",668口,"16,300円",832口,"9,700円","155,512,000円"
2002/12/06,053,279口,"88,800円",880口,"14,800円",349口,"51,800円","1,694口","7,400円",735口,"8,800円","166,554,800円"
2002/12/09,180,156口,"108,200円",955口,"18,000円",264口,"63,100円","1,892口","9,000円",373口,"10,800円","159,828,200円"
2002/12/11,390,151口,"109,900円",719口,"18,300円",297口,"64,100円","1,802口","9,100円",465口,"10,900円","156,609,600円"
2002/12/13,232,274口,"76,200円",504口,"25,400円",419口,"50,800円",951口,"12,700円","1,291口","7,600円","171,043,400円"
2002/12/16,015,198口,"99,900円",984口,"16,600円",335口,"58,200円","1,886口","8,300円","1,106口","9,900円","183,234,600円"
2002/12/18,270,189口,"102,000円",910口,"17,000円",320口,"59,500円","1,929口","8,500円",528口,"10,200円","168,054,600円"
2002/12/20,386,197口,"94,900円","1,012口","15,800円",437口,"55,300円","1,906口","7,900円",499口,"9,400円","174,931,400円"
2002/12/23,748,149口,"118,600円",691口,"19,700円",290口,"69,100円","1,498口","9,800円",734口,"11,800円","166,495,200円"
2002/12/25,821,293口,"63,600円","1,538口","10,600円",509口,"37,100円","3,306口","5,300円",759口,"6,300円","169,278,600円"
2002/12/27,519,299口,"79,700円",978口,"13,200円",527口,"46,400円","1,979口","6,600円",823口,"7,900円","180,183,000円"
2002/12/30,407,242口,"93,300円",810口,"15,500円",511口,"54,400円","1,452口","7,700円",743口,"9,300円","180,631,600円"
