第0889回,2001/08/01,139,309口,"64,300円",955口,"10,700円",423口,"37,500円","1,942口","5,300円","2,810口","6,400円","165,440,000円"
第0890回,2001/08/03,332,308口,"79,000円",555口,"26,300円",392口,"52,600円",756口,"13,100円",935口,"7,900円","171,150,000円"
第0891回,2001/08/06,254,259口,"87,500円","1,073口","14,500円",378口,"51,000円","2,149口","7,200円",640口,"8,700円","175,414,400円"
第0892回,2001/08/08,353,271口,"95,800円",388口,"31,900円",281口,"63,800円",661口,"15,900円",484口,"9,500円","158,871,600円"
第0893回,2001/08/10,184,143口,"109,800円",782口,"18,300円",322口,"64,000円","1,831口","9,100円",601口,"10,900円","164,445,800円"
第0894回,2001/08/13,592,204口,"85,200円","1,129口","14,200円",362口,"49,700円","2,488口","7,100円",491口,"8,500円","162,891,000円"
第0895回,2001/08/15,614,216口,"89,500円",817口,"14,900円",358口,"52,200円","1,508口","7,400円",667口,"8,900円","149,922,800円"
第0896回,2001/08/17,108,285口,"83,700円",784口,"13,900円",509口,"48,800円","1,563口","6,900円",540口,"8,300円","166,832,800円"
第0897回,2001/08/20,055,210口,"133,100円",302口,"44,300円",198口,"88,700円",497口,"22,100円",651口,"13,300円","174,703,800円"
第0898回,2001/08/22,980,143口,"113,400円",618口,"18,900円",264口,"66,100円","1,566口","9,400円",443口,"11,300円","144,858,600円"
第0899回,2001/08/24,350,182口,"112,100円",893口,"18,600円",274口,"65,300円","1,861口","9,300円",441口,"11,200円","171,882,800円"
第0900回,2001/08/27,088,367口,"76,500円",587口,"25,500円",501口,"51,000円",751口,"12,700円",727口,"7,600円","186,073,800円"
第0901回,2001/08/29,694,196口,"104,300円",824口,"17,300円",326口,"60,800円","1,832口","8,600円",528口,"10,400円","169,095,400円"
第0902回,2001/08/31,377,284口,"88,500円",496口,"29,500円",340口,"59,000円",825口,"14,700円",832口,"8,800円","176,394,800円"
