第3920回,2014/07/01,571,74口,"74,400円",613口,"12,400円",242口,"43,400円","1,377口","6,200円",579口,"7,400円","81,069,600円"
第3921回,2014/07/02,953,73口,"106,100円",463口,"17,600円",139口,"61,800円","1,000口","8,800円",423口,"10,600円","84,159,600円"
第3922回,2014/07/03,307,95口,"65,900円",713口,"10,900円",286口,"38,400円","1,581口","5,400円",394口,"6,500円","80,926,600円"
第3923回,2014/07/04,583,103口,"72,500円",691口,"12,000円",246口,"42,200円","1,441口","6,000円",500口,"7,200円","85,753,200円"
第3924回,2014/07/07,076,95口,"100,200円",538口,"16,700円",197口,"58,400円","1,018口","8,300円",602口,"10,000円","99,025,600円"
第3925回,2014/07/08,856,59口,"109,200円",425口,"18,200円",138口,"63,700円",801口,"9,100円",446口,"10,900円","78,087,800円"
第3926回,2014/07/09,389,76口,"93,800円",401口,"15,600円",216口,"54,700円",842口,"7,800円",376口,"9,300円","78,516,600円"
第3927回,2014/07/10,647,75口,"97,100円",384口,"16,100円",163口,"56,600円",827口,"8,000円",654口,"9,700円","79,573,200円"
第3928回,2014/07/11,398,62口,"102,400円",424口,"17,000円",177口,"59,700円",878口,"8,500円",624口,"10,200円","84,605,800円"
第3929回,2014/07/14,061,72口,"117,200円",533口,"19,500円",125口,"68,300円","1,146口","9,700円",468口,"11,700円","97,959,400円"
第3930回,2014/07/15,495,88口,"87,300円",432口,"14,500円",216口,"50,900円",887口,"7,200円",472口,"8,700円","78,992,000円"
第3931回,2014/07/16,239,62口,"93,500円",442口,"15,500円",197口,"54,500円","1,013口","7,700円",536口,"9,300円","80,744,000円"
第3932回,2014/07/17,621,98口,"72,900円",594口,"12,100円",257口,"42,500円","1,279口","6,000円",454口,"7,200円","80,832,800円"
第3933回,2014/07/18,790,69口,"113,600円",373口,"18,900円",172口,"66,200円",731口,"9,400円",392口,"11,300円","83,731,400円"
第3934回,2014/07/21,954,100口,"104,200円",411口,"17,300円",172口,"60,700円",756口,"8,600円",523口,"10,400円","88,971,800円"
第3935回,2014/07/22,197,52口,"99,200円",481口,"16,500円",169口,"57,800円",976口,"8,200円",361口,"9,900円","76,816,600円"
第3936回,2014/07/23,059,94口,"87,400円",431口,"14,500円",178口,"50,900円",785口,"7,200円",654口,"8,700円","77,869,200円"
第3937回,2014/07/24,070,40口,"143,100円",188口,"47,700円",94口,"95,400円",272口,"23,800円",311口,"14,300円","76,889,000円"
第3938回,2014/07/25,498,57口,"111,400円",373口,"18,500円",159口,"64,900円",765口,"9,200円",530口,"11,100円","81,410,000円"
第3939回,2014/07/28,190,89口,"86,600円",729口,"14,400円",206口,"50,500円","1,298口","7,200円",528口,"8,600円","94,699,800円"
第3940回,2014/07/29,234,74口,"95,800円",387口,"15,900円",198口,"55,800円",733口,"7,900円",425口,"9,500円","76,141,200円"
第3941回,2014/07/30,392,74口,"92,800円",483口,"15,400円",176口,"54,100円","1,018口","7,700円",384口,"9,200円","78,469,200円"
第3942回,2014/07/31,649,83口,"89,100円",491口,"14,800円",184口,"51,900円","1,040口","7,400円",457口,"8,900円","80,116,000円"
