第0040回,2001/07/05,5,17,25,34,38,39,(2),,,,,,2口,"118,547,100円",18口,"11,854,600円",595口,"430,300円","28,282口","7,900円","400,926口","1,000円","2,962,977,600円",0円
第0041回,2001/07/12,18,21,27,33,36,38,(23),,,,,,1口,"200,000,000円",3口,"70,858,500円",442口,"577,100円","24,295口","9,200円","379,418口","1,000円","2,907,344,000円","36,197,335円"
第0042回,2001/07/19,4,15,21,24,33,37,(9),,,,,,2口,"134,394,100円",26口,"8,051,100円",622口,"403,800円","27,142口","8,100円","378,546口","1,000円","2,873,888,400円",0円
第0043回,2001/07/26,1,2,3,15,24,26,(27),,,,,,3口,"75,848,800円",9口,"22,754,400円",397口,"619,000円","17,837口","12,100円","322,186口","1,000円","2,704,559,400円",0円
