第0346回,2007/06/07,4,9,11,12,32,38,(16),,,,,,2口,"275,055,600円",35口,"10,004,800円",877口,"479,100円","47,540口","7,700円","726,427口","1,000円","5,014,553,800円",0円
第0347回,2007/06/14,8,20,23,27,32,33,(13),,,,,,2口,"175,074,200円",14口,"22,509,300円",525口,"720,200円","27,683口","12,000円","482,381口","1,000円","4,132,000,600円",0円
第0348回,2007/06/21,4,5,6,27,36,38,(13),,,,,,4口,"83,409,800円",30口,"10,009,000円",796口,"452,600円","36,706口","8,600円","618,057口","1,000円","4,289,224,400円",0円
第0349回,2007/06/28,8,13,15,19,20,30,(25),,,,,,1口,"200,000,000円",23口,"13,939,100円",537口,"716,400円","31,439口","10,700円","543,255口","1,000円","4,320,395,600円","156,226,705円"
