第0646回,2012/04/02,9,12,14,24,28,33,(37),,,,,,2口,"91,242,400円",19口,"8,643,900円",465口,"423,800円","23,268口","7,400円","350,110口","1,000円","2,372,806,800円",0円
第0647回,2012/04/05,2,7,15,22,36,43,(27),,,,,,1口,"193,138,200円",18口,"9,656,800円",533口,"391,300円","21,602口","8,500円","309,863口","1,000円","2,376,472,200円",0円
第0648回,2012/04/09,22,26,27,28,36,43,(1),,,,,,該当なし,該当なし,2口,"92,621,600円",205口,"1,084,300円","11,961口","16,300円","239,199口","1,000円","2,330,337,400円","205,827,665円"
第0649回,2012/04/12,14,22,29,33,36,40,(38),,,,,,該当なし,該当なし,25口,"9,210,600円",508口,"543,900円","25,727口","9,400円","362,512口","1,000円","3,041,548,600円","461,680,353円"
第0650回,2012/04/16,12,31,34,40,41,43,(6),,,,,,1口,"400,000,000円",10口,"31,073,900円",396口,"941,600円","22,211口","14,800円","403,488口","1,000円","3,914,037,800円","406,949,113円"
第0651回,2012/04/19,4,15,17,34,38,40,(5),,,,,,2口,"356,844,900円",13口,"21,235,700円",477口,"694,500円","24,738口","11,800円","405,707口","1,000円","3,582,263,200円",0円
第0652回,2012/04/23,1,10,16,19,20,39,(29),,,,,,2口,"105,070,900円",9口,"21,014,000円",335口,"677,400円","17,568口","11,300円","280,702口","1,000円","2,460,270,000円",0円
第0653回,2012/04/26,13,21,22,26,29,36,(31),,,,,,1口,"200,000,000円",5口,"37,971,600円",348口,"654,600円","18,742口","10,700円","309,775口","1,000円","2,531,987,000円","10,955,557円"
第0654回,2012/04/30,12,18,21,29,32,38,(2),,,,,,1口,"220,075,400円",8口,"23,525,700円",444口,"508,600円","18,923口","10,500円","305,974口","1,000円","2,507,498,200円",0円
