第0078回,2002/04/04,5,14,23,32,33,43,(37),,,,,,7口,"38,856,500円",25口,"9,791,700円",970口,"302,800円","34,314口","7,500円","356,876口","1,000円","3,170,104,000円",0円
第0079回,2002/04/11,20,22,27,32,36,43,(23),,,,,,1口,"200,000,000円",10口,"25,665,300円",230口,"1,339,000円","13,883口","19,500円","287,997口","1,000円","3,132,197,000円","85,172,896円"
第0080回,2002/04/18,1,4,12,16,19,34,(18),,,,,,1口,"361,173,200円",14口,"17,742,700円",693口,"430,100円","43,581口","6,000円","475,371口","1,000円","3,468,422,000円",0円
第0081回,2002/04/25,1,11,15,23,26,27,(41),,,,,,3口,"82,115,000円",24口,"9,237,800円",643口,"413,700円","33,795口","6,900円","495,723口","1,000円","3,254,483,400円",0円
