第0503回,2010/07/01,1,18,25,27,28,39,(11),,,,,,該当なし,該当なし,11口,"27,705,600円",436口,"838,700円","28,103口","11,400円","507,607口","1,000円","4,087,376,600円","338,627,846円"
第0504回,2010/07/08,12,21,22,27,29,31,(35),,,,,,2口,"389,247,400円",10口,"39,587,600円",751口,"632,500円","38,256口","10,900円","615,282口","1,000円","5,211,410,800円",0円
第0505回,2010/07/15,19,21,27,33,34,43,(41),,,,,,2口,"173,454,100円",9口,"34,690,500円",557口,"672,600円","26,879口","12,200円","456,954口","1,000円","4,047,178,800円",0円
第0506回,2010/07/22,5,11,21,27,37,39,(26),,,,,,1口,"200,000,000円",14口,"19,621,900円",784口,"420,400円","34,034口","8,500円","533,818口","1,000円","3,853,783,000円","105,233,732円"
第0507回,2010/07/29,5,14,19,21,28,31,(17),,,,,,5口,"94,246,300円",26口,"12,669,000円","1,054口","375,000円","34,848口","10,000円","542,243口","1,000円","4,403,541,400円",0円
