第0724回,2013/01/07,4,9,32,37,38,39,(31),,,,,,1口,"400,000,000円",11口,"26,093,600円",450口,"765,400円","24,340口","12,400円","418,023口","1,000円","3,716,111,400円","129,168,839円"
第0725回,2013/01/10,5,6,7,20,31,41,(22),,,,,,1口,"380,475,100円",8口,"28,271,700円",429口,"632,600円","21,324口","11,200円","359,060口","1,000円","2,994,145,800円",0円
第0726回,2013/01/14,13,21,30,31,37,40,(14),,,,,,該当なし,該当なし,7口,"23,991,100円",277口,"727,500円","15,468口","11,400円","245,799口","1,000円","2,176,962,400円","186,599,329円"
第0727回,2013/01/17,3,24,26,27,39,41,(4),,,,,,3口,"143,332,300円",19口,"11,529,200円",490口,"536,400円","25,828口","8,900円","392,446口","1,000円","2,999,221,200円",0円
第0728回,2013/01/21,10,15,22,23,38,42,(12),,,,,,3口,"63,530,800円",10口,"17,153,100円",535口,"384,700円","22,776口","7,900円","325,069口","1,000円","2,388,016,000円",0円
第0729回,2013/01/24,2,10,16,18,27,42,(22),,,,,,2口,"98,685,000円",17口,"10,448,900円",418口,"509,900円","18,377口","10,200円","300,980口","1,000円","2,393,715,200円",0円
第0730回,2013/01/28,10,15,21,22,33,35,(1),,,,,,3口,"66,314,100円",6口,"29,841,100円",381口,"563,900円","18,093口","10,400円","283,480口","1,000円","2,368,568,800円",0円
第0731回,2013/01/31,6,7,23,25,38,42,(21),,,,,,2口,"98,599,200円",6口,"29,579,500円",436口,"488,400円","20,143口","9,300円","320,236口","1,000円","2,435,007,400円",0円
