第1232回,2017/12/04,5,10,14,31,35,38,(16),,,,,,1口,"200,000,000円",3口,"24,468,400円",210口,"377,500円","9,833口","8,500円","166,380口","1,000円","44,676,530円"
第1233回,2017/12/07,2,7,12,21,29,33,(16),,,,,,1口,"269,539,600円",14口,"4,818,600円",373口,"195,300円","15,786口","4,800円","218,994口","1,000円",0円
第1234回,2017/12/11,7,11,16,20,30,40,(28),,,,,,該当なし,該当なし,2口,"35,404,500円",205口,"373,000円","10,704口","7,500円","168,854口","1,000円","236,022,484円"
第1235回,2017/12/14,8,17,24,34,36,42,(33),,,,,,該当なし,該当なし,5口,"15,723,000円",323口,"262,800円","13,818口","6,400円","203,612口","1,000円","498,064,563円"
第1236回,2017/12/18,1,3,11,26,38,39,(34),,,,,,2口,"403,855,000円",8口,"11,612,000円",420口,"238,800円","18,048口","5,800円","268,471口","1,000円",0円
第1237回,2017/12/21,1,4,6,35,38,40,(27),,,,,,該当なし,該当なし,4口,"18,740,800円",167口,"484,700円","8,606口","9,900円","161,338口","1,000円","249,870,372円"
第1238回,2017/12/25,8,14,28,29,33,40,(32),,,,,,2口,"277,207,200円",11口,"8,306,000円",432口,"228,400円","15,721口","6,600円","228,310口","1,000円",0円
第1239回,2017/12/28,2,19,27,28,30,38,(22),,,,,,1口,"200,000,000円",8口,"9,538,300円",191口,"431,400円","10,944口","7,900円","189,837口","1,000円","54,348,251円"
