第1153回,2017/03/02,4,15,20,24,26,30,(29),,,,,,該当なし,該当なし,7口,"12,513,200円",265口,"356,900円","14,004口","7,100円","223,686口","1,000円","601,316,116円"
第1154回,2017/03/06,8,12,30,36,41,42,(4),,,,,,2口,"472,134,000円",11口,"9,353,500円",329口,"337,700円","14,813口","7,900円","237,756口","1,000円",0円
第1155回,2017/03/09,14,19,22,23,28,43,(25),,,,,,該当なし,該当なし,2口,"35,719,700円",222口,"347,500円","11,858口","6,800円","185,830口","1,000円","238,123,706円"
第1156回,2017/03/13,3,6,19,31,35,40,(12),,,,,,該当なし,該当なし,5口,"17,651,700円",257口,"370,800円","13,099口","7,600円","214,518口","1,000円","532,309,257円"
第1157回,2017/03/16,5,17,20,28,39,42,(1),,,,,,1口,"600,000,000円",6口,"16,203,700円",361口,"290,800円","14,908口","7,400円","225,173口","1,000円","256,373,097円"
第1158回,2017/03/20,22,24,27,30,32,40,(23),,,,,,2口,"273,100,900円",4口,"21,737,800円",153口,"613,700円","8,610口","11,500円","159,064口","1,000円",0円
第1159回,2017/03/23,1,4,15,16,23,30,(17),,,,,,1口,"200,000,000円",8口,"8,073,900円",322口,"216,600円","15,157口","4,800円","202,033口","1,000円","15,299,173円"
第1160回,2017/03/27,9,22,31,32,34,43,(24),,,,,,1口,"281,850,900円",5口,"15,993,600円",140口,"616,800円","8,006口","11,300円","148,235口","1,000円",0円
第1161回,2017/03/30,1,2,12,16,19,40,(18),,,,,,1口,"200,000,000円",4口,"17,683,000円",169口,"452,000円","9,989口","8,000円","173,373口","1,000円","35,766,902円"
