第0860回,2014/05/01,14,16,32,35,38,41,(6),,,,,,3口,"101,556,000円",5口,"30,285,500円",259口,"701,500円","14,422口","11,100円","220,507口","1,000円","1,960,437,800円",0円
第0861回,2014/05/05,4,17,21,28,35,42,(29),,,,,,3口,"41,471,000円",13口,"8,613,100円",329口,"408,400円","13,241口","8,900円","173,693口","1,000円","1,473,265,400円",0円
第0862回,2014/05/08,5,10,16,34,36,39,(43),,,,,,該当なし,該当なし,2口,"60,909,600円",262口,"557,900円","11,911口","10,800円","198,149口","1,000円","1,623,243,800円","135,355,967円"
第0863回,2014/05/12,4,14,18,26,35,36,(2),,,,,,2口,"145,531,400円",12口,"11,677,900円",295口,"570,000円","15,027口","9,800円","235,339口","1,000円","1,883,741,200円",0円
第0864回,2014/05/15,19,21,24,28,32,40,(12),,,,,,2口,"68,694,900円",15口,"8,243,300円",162口,"915,900円","10,051口","13,000円","169,634口","1,000円","1,577,652,200円",0円
第0865回,2014/05/19,5,7,8,12,23,25,(26),,,,,,6口,"16,727,400円",18口,"5,018,200円",683口,"158,700円","24,693口","3,800円","302,771口","1,000円","1,549,941,000円",0円
第0866回,2014/05/22,1,3,10,21,29,43,(39),,,,,,該当なし,該当なし,3口,"38,572,500円",199口,"697,700円","11,462口","10,600円","187,301口","1,000円","1,539,888,000円","128,576,326円"
第0867回,2014/05/26,2,14,21,26,37,38,(18),,,,,,該当なし,該当なし,19口,"6,870,700円",476口,"329,100円","18,410口","7,500円","241,477口","1,000円","1,804,245,200円","273,626,115円"
第0868回,2014/05/29,5,18,19,26,31,43,(10),,,,,,該当なし,該当なし,9口,"17,432,300円",325口,"579,200円","14,921口","11,100円","235,048口","1,000円","2,045,805,800円","447,951,484円"
