第1385回,2019/06/03,9,20,28,35,41,43,(23),,,,,,2口,"128,087,300円",3口,"25,618,300円",136口,"610,200円","7,458口","11,700円","134,863口","1,000円",0円
第1386回,2019/06/06,4,11,14,15,20,38,(35),,,,,,該当なし,該当なし,8口,"8,291,400円",217口,"330,100円","10,289口","7,300円","173,335口","1,000円","221,098,245円"
第1387回,2019/06/10,11,27,29,30,37,38,(33),,,,,,1口,"490,835,000円",3口,"26,974,500円",304口,"287,400円","10,283口","8,900円","181,090口","1,000円",0円
第1388回,2019/06/13,9,10,12,15,29,37,(11),,,,,,4口,"52,668,900円",8口,"7,900,500円",289口,"236,100円","13,504口","5,300円","202,523口","1,000円",0円
第1389回,2019/06/17,6,16,21,23,26,42,(43),,,,,,該当なし,該当なし,6口,"12,012,400円",222口,"350,600円","11,404口","7,200円","181,209口","1,000円","240,241,160円"
第1390回,2019/06/20,10,11,13,28,34,39,(35),,,,,,該当なし,該当なし,5口,"15,977,000円",255口,"338,300円","12,573口","7,200円","200,791口","1,000円","506,516,251円"
第1391回,2019/06/24,3,12,23,31,36,42,(43),,,,,,2口,"403,380,500円",10口,"9,007,600円",347口,"280,300円","15,723口","6,500円","246,490口","1,000円",0円
第1392回,2019/06/27,6,9,12,19,40,42,(7),,,,,,該当なし,該当なし,10口,"7,036,900円",213口,"356,700円","12,206口","6,500円","191,383口","1,000円","234,558,536円"
