第1351回,2019/02/04,8,14,18,22,28,29,(5),,,,,,1口,"200,000,000円",15口,"4,482,000円",262口,"277,100円","12,969口","5,900円","196,665口","1,000円","24,096,183円"
第1352回,2019/02/07,5,6,9,15,19,36,(22),,,,,,該当なし,該当なし,6口,"10,431,100円",276口,"244,800円","14,885口","4,700円","224,193口","1,000円","232,713,045円"
第1353回,2019/02/11,2,11,12,19,21,24,(36),,,,,,3口,"151,274,200円",5口,"13,267,000円",444口,"161,300円","16,918口","4,400円","242,167口","1,000円",0円
第1354回,2019/02/14,4,25,27,28,32,41,(26),,,,,,1口,"200,000,000円",4口,"16,938,700円",164口,"446,100円","9,423口","8,200円","153,600口","1,000円","25,842,518円"
第1355回,2019/02/18,5,15,27,29,34,37,(12),,,,,,1口,"270,445,900円",13口,"5,644,800円",269口,"294,600円","12,215口","6,800円","189,030口","1,000円",0円
第1356回,2019/02/21,4,6,10,16,24,43,(12),,,,,,2口,"104,132,300円",12口,"5,206,700円",329口,"205,000円","13,826口","5,100円","202,692口","1,000円",0円
第1357回,2019/02/25,2,3,8,15,19,28,(21),,,,,,5口,"37,305,200円",13口,"4,304,500円",552口,"109,400円","21,182口","3,000円","263,356口","1,000円",0円
第1358回,2019/02/28,9,15,23,27,29,40,(28),,,,,,2口,"107,316,100円",5口,"12,878,300円",260口,"267,400円","12,385口","5,900円","181,777口","1,000円",0円
